var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
o,d,h,a,f,o,o,d,k,d,l,o,b,f,o
i,l,a,a,k,j,l,f,i,n,l,n,k,n,o
a,l,c,l,g,e,h,m,c,b,m,a,n,n,o
i,b,m,k,b,d,f,m,b,e,j,b,k,g,i
k,o,e,n,f,l,h,k,i,l,f,h,a,o,d
j,n,o,g,l,j,i,k,d,a,n,m,m,n,b
m,j,b,h,o,e,g,f,f,d,j,n,b,b,o
i,h,e,c,f,g,g,i,a,c,i,n,d,a,k
b,j,g,a,f,c,b,d,n,i,c,k,n,n,d
b,b,g,n,j,f,i,f,m,h,n,j,n,b,e
i,d,o,e,k,c,b,d,j,h,k,d,j,n,a
e,k,o,m,a,j,j,h,k,k,m,n,g,o,c
j,d,b,m,j,m,g,b,b,i,j,k,b,g,o
a,g,j,g,i,j,f,f,f,b,d,k,a,i,b
g,d,i,o,m,d,m,m,n,i,d,c,f,a,i
h,o,a,a,k,h,a,a,n,e,h,h,n,n,n
o,d,k,i,c,c,b,i,k,b,b,c,i,j,b
h,o,f,c,o,o,o,f,a,h,n,o,f,d,c
e,j,j,i,f,o,k,b,a,c,i,n,c,i,d
j,l,g,d,o,j,c,o,l,n,h,n,m,g,a
o,g,n,d,o,k,j,o,b,f,c,j,k,m,g
j,l,b,d,o,k,c,a,m,i,h,a,d,h,a
j,d,n,f,h,b,l,k,b,m,o,a,m,h,i
d,c,c,c,h,c,d,i,f,g,f,i,a,h,i
l,m,o,f,k,e,g,o,g,f,h,h,d,f,n
i,h,k,b,n,a,i,m,c,d,l,k,a,d,m
g,b,j,i,g,c,e,k,l,o,e,d,j,k,f
g,f,j,i,l,o,i,e,i,a,l,a,g,h,n
i,d,m,i,b,i,g,k,c,j,f,o,l,a,h
c,d,o,b,h,g,b,b,o,h,h,f,m,a,a
b,h,j,h,j,d,b,m,m,m,n,k,h,l,c
d,e,l,n,l,j,o,l,g,h,h,d,o,m,l
n,i,c,f,h,g,f,g,l,f,i,c,n,e,d
h,d,j,a,d,d,g,n,k,j,m,c,l,d,j
e,g,l,o,a,h,b,k,a,h,e,l,b,d,h
b,m,e,e,f,j,b,m,k,e,h,m,h,l,j
j,a,m,b,j,e,b,n,n,m,j,o,j,f,j
m,a,b,n,a,j,c,j,b,h,j,l,o,j,o
j,d,l,n,c,c,k,k,e,m,c,a,m,f,o
b,b,c,d,i,m,n,d,m,i,f,g,n,n,d
i,k,g,a,h,d,o,d,f,f,k,m,l,j,a
a,l,n,d,b,j,h,o,e,c,f,n,a,f,e
h,k,g,d,f,m,e,n,l,l,n,b,k,m,j
m,f,e,j,a,j,c,f,k,n,g,o,a,f,l
a,f,c,m,n,a,g,m,i,m,b,a,h,b,o
m,e,i,k,c,d,o,i,n,o,l,k,m,o,g
o,g,k,l,a,i,a,j,o,c,k,l,m,h,d
g,j,g,j,f,f,i,c,m,c,m,g,c,o,l
h,l,d,f,j,d,h,h,g,a,a,a,m,o,k
b,b,h,c,e,j,g,h,e,o,k,k,m,d,o
d,l,c,m,b,d,i,i,i,m,n,b,n,n,a
c,d,b,a,b,e,k,b,o,g,o,l,m,g,j
h,i,m,o,m,k,k,n,d,e,c,m,b,d,e
e,d,f,o,k,m,n,n,e,f,c,n,o,g,c
h,i,m,d,e,h,e,a,j,b,n,i,g,o,l
m,i,g,c,i,j,d,b,e,c,l,b,o,c,l
b,i,c,n,g,n,g,d,i,l,i,k,d,m,e
