var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
d,j,c,c,b,e,g,j,e,f,c,g,d,e,b,a,j,h,j,b
h,d,f,e,c,a,b,c,g,a,a,d,g,d,a,g,i,g,j,g
f,h,d,a,c,a,g,j,f,a,f,g,h,e,a,i,i,e,c,i
a,j,i,i,c,d,b,b,j,f,h,h,f,g,c,i,h,h,b,g
c,j,j,g,c,a,c,c,a,h,j,a,g,d,a,c,h,i,e,h
c,d,j,i,h,a,e,h,e,h,g,g,b,f,g,f,h,a,j,d
h,j,h,a,e,c,f,e,d,d,c,b,h,j,c,d,c,a,d,b
g,j,c,g,d,h,a,c,d,a,g,d,h,d,f,d,b,a,b,i
j,d,g,c,h,g,j,j,f,d,c,g,j,g,i,d,b,a,d,h
a,j,c,f,e,h,i,b,g,a,g,f,h,c,a,h,g,f,f,b
i,j,h,j,i,h,c,d,j,b,j,d,d,d,h,b,d,i,i,e
c,g,j,c,h,e,g,g,h,d,d,b,h,a,i,b,h,a,c,c
c,a,c,i,j,j,b,a,c,b,d,f,f,f,e,f,j,c,f,e
d,j,f,j,c,a,a,c,c,h,d,h,j,d,d,f,c,f,d,g
f,h,g,f,f,e,d,a,f,h,j,h,c,h,f,f,c,d,e,b
e,j,i,d,h,a,h,a,c,b,d,i,d,f,a,a,h,h,a,b
f,h,g,h,e,j,f,c,e,j,c,h,d,c,b,i,b,d,j,d
a,d,j,h,c,i,f,a,c,b,b,i,d,j,a,e,c,i,c,h
h,j,h,i,h,h,g,c,c,e,i,b,h,c,a,i,b,a,e,d
f,d,e,e,a,a,i,a,g,h,c,h,f,f,i,c,b,d,a,d
h,a,b,j,a,c,c,d,e,h,f,h,d,g,c,g,i,f,e,c
c,c,b,c,e,h,b,a,j,g,h,c,j,a,f,d,g,e,c,j
c,g,h,a,b,h,i,h,g,b,c,d,a,d,c,d,b,j,f,j
d,i,h,c,g,d,h,d,e,a,c,g,e,g,c,c,d,a,c,h
d,h,i,d,e,f,h,b,h,g,c,d,b,g,a,c,j,h,i,b
a,d,j,g,j,g,i,c,e,j,c,e,i,e,i,a,b,a,c,j
j,j,j,b,h,c,f,f,j,j,b,f,c,h,g,g,b,a,c,g
c,c,e,h,c,i,h,h,f,e,c,d,e,a,a,i,i,c,i,f
e,j,c,c,j,c,a,d,h,f,j,b,d,e,d,i,e,g,c,a
j,b,f,i,h,e,d,b,h,c,d,b,f,h,b,h,i,g,a,i
a,j,e,a,a,e,e,h,g,d,g,b,c,h,a,g,h,h,c,d
j,h,c,i,a,e,h,c,h,e,c,i,c,b,a,f,i,j,a,j
j,a,g,j,h,e,f,d,h,b,a,g,e,f,f,a,b,a,c,f
a,j,g,b,a,g,h,b,j,c,f,h,g,h,a,b,b,b,f,i
a,g,f,i,c,e,b,e,c,j,c,g,a,c,b,i,c,b,c,c
a,a,b,h,e,g,a,a,a,b,e,g,j,d,i,c,a,j,c,d
j,a,i,f,h,d,h,c,a,b,a,h,h,e,h,c,i,a,i,b
j,j,g,f,h,d,i,j,i,a,e,i,d,e,c,j,e,g,a,b
c,j,d,h,i,e,b,i,f,d,g,g,g,e,a,i,j,e,i,j
a,h,c,i,i,d,b,b,h,b,h,g,b,g,g,j,b,j,a,g
c,g,f,j,i,i,d,h,b,d,e,h,a,e,e,f,j,j,a,a
c,h,h,e,h,d,h,d,a,c,e,c,h,e,e,i,j,c,c,b
c,e,j,d,a,i,g,e,j,b,g,i,a,c,h,a,h,i,c,c
