var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
j,i,i,e,i,g,f,d,c,e
i,a,i,g,g,e,h,j,f,b
f,c,h,e,c,f,f,i,i,j
j,j,a,h,d,d,f,h,a,e
j,b,i,i,b,e,e,a,d,c
j,b,c,j,a,h,g,f,i,a
g,a,g,f,a,i,e,b,c,b
c,h,e,g,f,a,i,j,j,h
c,a,e,f,j,j,j,i,h,i
d,a,a,h,j,h,d,e,b,a
d,i,e,j,f,b,h,j,j,h
f,g,j,h,a,g,f,d,e,a
b,j,a,b,e,e,f,i,d,i
g,j,j,a,b,j,j,j,a,a
i,f,b,f,d,g,a,d,d,e
b,a,h,h,g,b,a,g,b,d
c,e,b,a,i,d,a,b,d,f
j,a,g,c,e,g,i,e,h,j
h,c,a,c,b,c,h,e,b,i
b,i,i,c,a,a,i,b,h,d
f,b,i,i,b,d,j,d,b,f
c,h,b,e,j,c,i,j,g,c
e,i,h,e,e,d,e,d,g,g
j,d,c,b,e,i,h,i,f,e
a,b,j,e,j,h,b,a,h,b
e,c,a,e,c,a,g,j,j,b
d,e,f,b,d,d,b,j,b,h
g,b,c,h,f,b,j,g,i,h
a,f,b,j,b,e,f,j,g,j
b,f,c,h,i,i,e,a,d,c
a,g,e,f,h,j,c,a,g,b
f,d,e,b,c,d,h,h,h,i
h,c,g,i,j,j,e,e,d,i
e,h,b,f,j,c,f,d,e,j
f,g,e,a,f,g,a,b,b,j
j,d,h,c,g,b,g,j,f,g
d,e,g,i,c,f,g,e,f,d
e,f,i,e,b,h,g,j,a,a
h,i,i,b,g,c,j,c,b,c
i,g,a,h,c,j,g,f,f,j
d,i,b,h,h,i,d,a,c,e
e,g,g,e,e,c,e,c,h,g
j,i,f,b,h,d,g,i,b,j
c,a,j,c,e,f,a,i,a,j
d,j,f,a,b,i,g,a,h,c
h,g,d,b,j,j,g,f,g,b
e,h,a,g,e,j,c,e,c,j
f,d,f,b,i,g,b,e,f,b
a,h,b,c,f,i,d,e,j,f
c,g,e,g,a,f,d,a,g,h
d,i,b,d,d,b,f,h,e,j
e,f,a,j,j,c,e,f,e,i
a,c,f,c,d,g,j,i,j,e
e,i,f,b,h,f,a,e,e,j
a,d,g,i,i,b,c,h,h,f
j,a,j,e,i,g,b,c,c,j
c,i,f,h,h,d,g,c,a,h
e,a,e,j,j,e,c,f,d,j
i,b,j,d,f,h,e,e,e,c
h,e,j,b,e,e,c,b,g,j
a,e,f,c,j,a,b,d,b,c
a,b,e,e,g,i,b,e,e,c
h,h,g,d,j,g,g,a,g,b
a,f,c,i,i,e,b,d,c,i
e,d,e,b,h,d,c,e,e,j
e,a,h,b,f,j,d,j,i,j
h,j,h,b,c,e,i,e,b,e
c,f,h,j,f,e,a,j,e,a
e,i,a,d,i,b,i,d,d,i
h,a,j,c,a,c,a,i,e,j
h,g,a,d,e,i,j,e,e,g
a,c,h,a,e,i,e,c,e,f
c,h,b,c,i,i,j,i,j,i
e,j,i,j,g,a,f,e,c,d
b,i,j,j,d,g,h,i,e,g
i,b,e,i,i,j,a,e,b,c
c,j,j,i,c,d,c,f,f,g
c,a,a,h,a,h,b,i,c,b
e,i,e,g,e,b,c,b,i,e
a,j,e,g,i,c,b,b,i,h
e,e,c,j,j,c,d,h,b,j
f,a,b,f,g,b,e,i,j,h
e,j,c,e,g,j,a,i,h,j
h,d,g,j,j,d,g,c,d,b
c,b,i,c,i,d,f,i,j,e
a,i,g,c,i,e,c,f,a,g
a,f,b,f,h,f,f,f,e,e
f,f,j,e,e,b,a,i,j,g
f,e,h,e,i,j,f,i,h,j
e,g,b,e,c,e,j,i,d,h
g,b,h,b,g,i,d,b,c,a
d,i,a,b,c,c,g,g,b,i
f,i,h,e,g,g,b,i,h,i
b,d,h,g,e,f,h,i,i,e
h,g,h,j,e,a,c,j,a,a
c,f,c,c,i,g,b,h,b,b
d,j,j,j,c,d,f,h,j,i
