var_1,var_2,var_3,var_4,var_5
e,f,j,f,b
i,b,a,h,c
g,d,h,f,g
h,i,f,f,j
h,b,f,e,g
j,i,g,g,g
g,d,g,e,e
b,j,b,i,c
f,g,b,j,c
f,i,j,d,h
f,c,g,h,e
e,g,e,f,e
a,e,h,f,f
g,f,j,j,a
d,g,j,a,e
g,a,f,a,f
d,f,d,a,i
c,d,f,i,i
h,c,g,h,g
a,g,j,i,i
b,g,h,j,j
d,i,f,h,f
e,c,g,e,d
h,c,g,h,e
c,a,e,b,a
j,j,d,g,e
e,j,a,b,h
e,h,h,j,c
e,f,g,e,h
j,g,a,e,g
g,i,i,c,a
d,i,h,h,c
h,e,d,e,d
h,i,h,f,h
e,h,e,a,c
d,i,c,f,c
e,j,j,f,b
g,i,j,f,g
a,j,f,j,j
f,i,e,g,d
i,j,c,d,a
d,j,h,e,h
j,b,h,g,i
e,a,b,a,b
g,i,j,g,j
h,a,a,g,a
e,g,a,b,d
d,f,f,b,g
d,i,b,c,b
h,b,c,d,e
d,e,i,f,f
i,i,a,e,a
e,g,c,j,i
d,d,b,b,h
i,j,b,b,c
c,d,g,b,f
g,b,c,g,e
c,a,f,c,c
d,g,g,e,d
c,g,d,c,c
j,i,j,b,a
j,j,i,b,i
j,b,d,g,h
b,i,i,b,h
f,f,g,b,b
f,a,f,d,d
c,d,f,i,e
i,j,i,a,f
a,j,e,i,e
e,f,b,a,j
f,j,j,j,j
c,f,i,e,b
e,h,f,j,c
h,b,f,f,e
c,i,f,h,f
f,a,d,a,e
j,f,g,c,b
b,a,i,b,f
a,a,h,c,a
a,f,f,b,g
g,a,d,c,d
b,b,i,e,j
g,c,c,a,c
j,b,d,g,b
e,i,d,f,f
c,i,c,c,c
d,d,d,e,e
e,j,c,a,j
a,b,f,f,e
j,a,b,j,i
f,i,c,d,c
a,e,h,g,b
a,e,i,b,c
j,j,h,h,i
a,g,b,c,a
a,c,b,b,j
d,e,i,f,f
a,f,d,a,b
d,c,f,i,g
b,b,h,a,d
i,f,f,g,f
g,j,d,c,c
g,a,d,h,e
d,f,f,j,g
j,j,b,c,j
i,j,j,f,b
c,j,b,f,h
h,g,d,f,g
i,j,e,c,h
f,c,e,j,c
j,g,f,e,a
h,a,c,i,i
b,d,j,g,g
c,a,i,c,d
d,d,d,i,i
e,e,f,d,f
j,f,d,i,e
f,h,e,f,h
d,a,b,i,f
i,j,d,g,c
g,c,g,h,g
c,c,c,e,f
g,c,b,j,d
j,b,d,g,b
h,b,c,e,i
g,a,h,f,j
h,d,b,a,a
j,j,a,c,d
d,g,a,g,c
i,b,j,c,e
f,f,b,f,e
h,i,c,e,j
d,e,f,b,d
j,e,f,c,e
a,f,b,f,j
d,e,i,f,f
a,b,f,f,e
f,i,b,g,f
j,e,a,g,c
c,g,f,e,a
h,g,c,i,h
a,g,d,d,b
c,g,f,e,a
i,j,d,i,f
e,h,j,i,c
a,d,b,g,h
h,e,g,b,j
g,d,e,j,j
c,h,a,h,b
b,d,c,j,h
c,b,d,b,j
d,g,a,i,e
b,e,e,b,d
j,d,e,f,h
h,d,j,b,c
b,j,d,i,b
h,j,j,i,d
e,e,a,f,i
a,j,d,d,j
h,e,d,a,i
