var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
a,f,j,c,j,j,i,b,c,i,f,f,f,h,h
b,j,f,a,j,c,d,a,g,b,i,h,a,c,b
b,g,e,h,j,h,d,g,h,f,g,f,e,j,a
b,i,j,a,b,h,i,g,i,d,e,f,j,d,c
g,f,a,c,j,j,h,i,j,b,i,e,e,c,c
g,c,c,i,d,j,e,j,c,b,g,g,b,h,d
i,f,h,g,e,j,e,e,j,c,j,e,d,a,g
g,e,b,e,b,g,h,f,f,h,i,i,f,b,b
j,f,g,f,j,j,d,g,h,h,f,j,e,a,g
e,j,g,a,i,b,a,e,h,j,c,d,f,j,c
a,d,h,e,i,f,g,j,d,b,a,h,b,i,g
b,d,d,d,g,f,g,d,g,b,h,f,e,j,a
a,e,b,h,e,e,d,h,i,b,j,f,a,d,d
e,c,e,i,f,g,g,a,a,i,b,j,i,e,e
e,b,h,c,d,d,d,d,h,e,d,a,c,g,d
j,b,j,c,f,c,b,j,d,e,j,a,j,b,c
a,i,h,f,e,d,d,g,d,c,i,a,g,j,a
d,e,a,e,e,a,g,d,g,h,h,i,i,j,a
c,a,g,d,h,d,c,f,c,b,b,h,c,b,g
d,i,h,g,d,b,e,h,e,d,i,i,h,a,j
c,a,f,i,h,i,d,h,f,b,b,j,i,b,c
c,g,b,e,a,a,a,a,j,d,b,h,f,i,d
b,b,b,d,i,h,g,i,h,j,a,e,d,e,b
b,b,c,j,g,b,f,h,i,d,e,h,d,d,b
f,h,h,a,i,e,i,c,a,b,d,b,b,a,e
d,e,h,e,b,g,h,b,a,h,c,g,e,f,a
h,e,h,j,h,d,c,j,g,f,i,b,g,a,e
h,a,d,f,b,i,b,f,i,j,j,j,j,a,i
c,i,a,d,h,j,g,d,j,i,g,f,a,g,i
f,f,f,j,i,a,c,e,e,d,b,e,g,i,g
d,b,h,i,e,j,i,j,a,a,g,c,i,b,i
f,b,i,e,e,e,c,h,i,b,i,h,g,a,g
j,h,e,i,j,e,a,g,h,e,j,e,g,i,i
a,b,d,g,b,d,c,d,d,a,h,f,a,i,a
b,i,h,d,e,g,a,e,h,a,g,a,h,i,d
h,j,g,a,b,a,c,f,e,e,h,g,j,j,c
g,g,i,d,d,g,g,e,b,j,b,g,e,j,c
g,i,g,i,h,a,i,d,f,a,d,g,f,e,c
j,b,g,e,d,h,g,a,e,i,c,j,a,f,d
d,d,e,c,j,h,h,a,f,e,h,g,b,a,c
f,d,h,j,g,a,g,j,g,g,g,d,d,b,f
e,i,a,j,f,f,b,f,j,h,f,e,f,b,i
f,b,h,d,h,b,f,c,h,h,c,g,h,j,e
g,e,f,g,d,e,c,j,g,c,i,a,c,b,c
g,f,a,d,h,j,j,a,e,f,a,g,g,c,d
g,h,i,e,c,i,g,j,e,d,c,g,c,i,d
f,c,c,c,g,b,b,d,h,b,i,c,b,b,f
g,g,f,b,j,j,i,g,j,e,e,b,g,c,i
f,a,b,e,b,i,d,d,i,a,f,d,f,e,b
b,g,a,i,d,c,f,d,g,b,c,d,c,a,g
g,g,i,a,e,h,h,b,d,a,a,f,g,b,b
j,h,j,a,g,a,d,a,j,i,a,e,h,a,b
j,d,e,d,e,i,i,d,i,a,f,j,e,i,e
j,d,i,f,f,b,i,f,b,j,a,b,e,g,i
h,b,i,g,h,b,f,j,b,d,b,c,a,e,h
j,g,j,g,i,a,j,i,d,j,e,b,i,c,b
f,g,j,g,a,j,g,e,f,g,a,g,d,g,i
c,j,a,e,f,a,e,d,f,d,g,c,f,b,d
h,e,e,j,f,i,h,j,a,g,h,e,f,f,e
g,a,c,h,b,i,b,j,a,c,c,c,e,g,e
i,g,e,e,c,j,f,c,f,d,d,b,e,d,i
d,f,f,i,d,c,c,d,b,i,h,b,g,a,e
d,e,b,d,h,f,b,d,f,a,h,g,d,e,c
j,c,c,c,c,f,d,a,b,j,g,b,e,f,b
f,i,c,j,a,j,a,c,h,h,e,b,i,f,c
d,h,a,i,j,d,a,g,d,a,g,d,b,h,e
d,f,h,c,b,i,g,h,b,b,c,i,b,e,b
h,f,d,d,c,c,e,h,j,g,h,a,b,a,h
b,i,h,i,d,b,e,j,d,d,c,i,e,j,g
d,i,e,i,f,e,i,h,g,j,a,a,f,f,b
b,i,h,c,h,j,h,h,j,h,d,j,c,e,b
e,e,i,d,b,e,i,j,e,j,d,e,e,f,j
e,g,j,i,a,d,c,e,e,c,d,j,c,b,i
i,a,f,i,b,e,h,g,e,g,g,f,j,h,c
a,c,a,c,d,c,h,e,j,e,e,h,i,d,e
c,a,f,d,e,f,c,a,g,h,e,a,d,f,b
d,j,d,i,c,a,e,d,b,d,j,c,a,j,j
d,a,f,j,b,a,c,f,c,b,h,b,h,f,g
d,a,c,e,b,j,h,f,f,j,h,c,d,a,d
j,i,c,b,a,i,g,b,e,a,d,b,b,f,i
b,h,j,c,b,g,j,j,e,b,b,d,d,e,g
h,h,f,e,e,b,c,c,e,j,b,e,d,e,h
a,b,j,e,j,i,h,a,c,e,b,a,j,c,c
f,i,j,b,a,c,f,d,g,b,d,g,j,b,b
e,j,g,b,a,d,i,e,j,d,e,f,e,g,g
