var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
l,b,i,c,n,h,e,f,o,m,k,l,g,f,b,f,l,i,c,j
m,c,f,b,b,f,k,g,a,n,b,m,l,m,m,d,k,k,b,e
b,g,d,k,e,d,o,a,b,d,k,e,l,i,h,a,m,i,n,g
c,a,n,o,o,k,g,j,o,n,o,i,m,b,d,n,k,h,g,l
m,f,g,c,m,e,n,f,l,d,a,d,n,j,l,h,m,f,o,f
g,d,d,c,j,b,n,o,k,k,b,n,l,j,k,g,m,j,g,b
f,b,n,k,e,i,b,a,h,g,m,b,i,k,c,m,b,g,m,l
m,l,k,b,f,e,g,j,e,o,c,b,m,e,c,a,b,n,c,i
n,n,c,i,n,e,i,n,f,i,h,e,c,e,g,m,j,o,o,f
l,n,j,o,j,m,k,d,o,g,j,n,n,i,k,h,o,f,n,c
n,k,a,d,b,h,m,o,g,o,g,o,b,o,f,f,m,l,j,o
l,l,a,k,i,l,e,n,k,a,d,i,d,l,o,k,j,h,g,l
m,k,n,e,m,e,n,n,a,l,f,j,m,i,f,l,d,i,j,d
o,e,l,o,h,i,n,i,b,d,a,o,m,i,i,a,c,n,c,b
g,c,c,h,l,b,k,l,h,g,i,j,c,l,g,j,a,b,a,m
k,i,o,f,h,n,n,j,m,h,a,n,e,o,e,j,b,b,j,l
o,i,g,f,f,i,b,g,n,n,l,f,e,f,i,j,n,a,m,a
j,j,b,m,a,d,d,b,j,j,g,j,n,a,o,j,a,m,j,c
j,h,l,b,n,m,d,l,o,a,i,c,f,l,b,b,a,l,l,h
l,d,o,e,h,h,j,c,n,k,o,d,a,a,m,h,k,m,k,h
m,i,f,e,c,k,b,d,l,i,c,i,m,n,g,j,o,o,l,b
k,g,k,n,l,n,g,m,o,k,d,m,e,d,e,n,m,l,o,k
f,o,b,m,k,i,b,h,l,e,e,i,b,h,d,e,i,g,h,e
a,b,d,h,e,m,a,g,o,i,o,l,f,g,m,j,a,l,m,b
f,e,h,m,e,o,i,e,c,i,i,h,o,l,e,c,h,b,m,k
n,n,a,k,f,j,o,b,h,e,o,d,i,o,e,j,i,j,n,b
b,m,i,g,i,d,c,o,i,c,f,h,c,o,i,g,o,c,d,m
h,b,a,e,f,j,d,m,b,b,b,h,c,b,a,n,i,o,b,o
b,j,g,g,d,n,m,d,m,c,f,c,l,h,j,h,o,h,i,n
c,o,f,o,c,f,f,c,a,l,b,f,j,e,m,n,c,f,f,f
e,m,m,d,h,i,o,c,h,e,c,g,h,c,e,c,e,d,a,l
