"var_1","var_2","var_3","var_4","var_5","var_6","var_7","var_8","var_9","var_10"
"i","e","c","b","j","g","i","c","j","h"
"b","i","c","f","d","b","c","j","f","b"
"h","b","a","e","g","d","d","c","f","e"
"f","h","h","b","h","d","e","f","b","a"
"j","d","f","h","b","c","a","c","d","j"
"g","g","f","d","i","e","e","e","g","f"
"c","g","d","g","e","a","c","i","f","h"
"f","a","j","c","b","a","a","i","i","j"
"c","j","g","d","c","h","c","h","e","e"
"b","c","c","e","c","h","d","a","j","e"
"h","b","e","b","f","j","j","f","c","a"
"f","g","h","i","a","g","a","j","c","d"
"b","b","f","a","b","i","f","g","j","b"
"b","c","i","i","e","d","e","f","i","b"
"j","f","g","g","f","g","j","g","h","g"
"b","j","d","b","c","a","b","g","f","b"
"c","g","j","b","e","d","b","a","e","j"
"c","a","a","j","c","i","c","f","d","b"
"f","h","a","i","g","e","f","f","f","j"
"j","b","g","a","c","c","c","i","g","a"
"h","c","i","g","b","i","h","b","c","a"
"d","g","c","d","j","a","i","j","d","h"
"b","f","i","i","e","d","b","j","c","a"
"c","d","i","a","g","a","b","i","b","h"
"b","d","g","d","b","g","i","j","e","e"
"h","a","d","g","a","i","g","a","b","f"
"d","j","a","f","i","h","e","g","b","b"
"g","d","a","h","c","g","d","d","i","d"
"h","j","f","i","h","h","b","b","g","f"
"j","b","a","h","h","g","d","a","b","g"
"h","c","i","i","d","h","h","h","b","i"
"c","b","e","f","a","j","f","e","a","d"
"a","j","j","j","f","d","c","d","a","c"
"f","c","e","h","f","e","e","b","i","i"
"c","i","i","b","c","f","e","g","a","j"
"h","e","j","f","d","f","c","f","i","j"
"j","h","h","a","h","g","h","h","d","g"
"a","h","j","a","h","e","b","h","b","b"
"d","e","c","i","j","a","c","j","c","a"
"e","i","c","f","j","c","c","f","j","j"
"h","a","a","f","a","g","e","j","e","b"
"i","j","h","d","h","h","c","j","j","f"
"d","j","b","h","a","h","c","a","c","f"
"h","d","j","b","j","b","i","c","d","a"
"g","a","b","f","e","b","e","f","a","g"
"g","f","j","f","c","b","j","f","f","f"
"f","j","j","j","i","h","e","a","j","d"
"c","j","j","i","f","i","g","b","i","d"
"j","g","j","g","c","h","j","h","g","a"
"h","e","g","f","h","c","h","h","g","g"
"d","g","e","a","g","i","e","b","a","f"
"b","i","b","e","a","g","g","c","i","d"
"f","h","d","b","a","d","g","g","a","i"
"g","c","f","b","d","e","d","f","f","h"
"g","j","c","g","a","c","e","a","j","a"
"h","a","c","i","h","i","e","b","c","j"
"d","f","a","j","e","i","a","c","j","c"
"j","g","c","h","g","c","j","f","j","e"
"g","a","j","e","g","f","h","g","h","b"
"e","h","b","d","a","i","i","h","i","e"
"h","g","b","i","g","j","a","d","h","e"
"b","g","e","j","e","c","e","b","b","a"
"j","i","c","d","c","b","c","h","b","e"
"g","c","g","a","j","e","i","h","d","g"
"a","d","c","b","d","i","d","j","h","b"
"j","e","f","g","j","d","e","g","a","g"
"f","g","e","a","c","a","j","d","g","j"
"h","i","c","i","d","a","e","g","e","d"
"h","i","i","c","b","d","c","e","c","j"
"j","b","e","b","i","h","e","h","f","a"
"h","b","a","e","g","h","j","f","c","h"
"e","h","e","a","d","d","f","b","i","g"
"d","f","h","h","g","g","d","d","g","d"
"a","e","c","b","e","b","i","f","b","h"
"g","e","j","i","a","i","a","b","e","a"
"b","b","b","a","d","g","h","b","f","b"
"j","c","b","a","f","i","e","b","i","h"
"i","g","i","e","d","b","i","a","e","f"
"h","g","g","h","f","i","d","a","j","c"
"i","i","e","f","e","f","j","e","a","f"
"d","h","c","i","e","f","e","b","d","i"
"a","h","i","c","a","a","h","h","i","f"
"e","h","h","i","f","d","d","i","j","g"
"f","d","a","c","c","e","e","f","e","c"
"g","g","b","f","e","g","c","j","i","i"
"h","c","a","i","a","h","e","c","f","h"
"h","d","g","h","e","a","i","j","g","d"
"c","c","i","c","a","j","g","e","f","f"
"g","h","g","e","c","g","c","d","b","d"
"g","f","h","h","e","j","f","h","d","i"
"i","g","a","i","e","h","e","c","e","f"
"j","f","f","e","i","c","g","h","c","i"
"f","f","g","d","j","j","e","i","i","d"
"i","e","h","c","b","b","f","b","i","c"
"j","h","g","b","a","b","b","c","a","f"
"e","i","f","h","i","f","b","j","g","e"
"j","b","a","h","b","g","j","d","a","h"
"b","g","i","g","c","e","i","b","i","b"
"f","g","j","g","h","h","h","f","c","d"
"g","e","d","f","b","i","j","b","i","b"
"d","g","a","c","a","g","a","d","d","b"
"f","c","g","c","g","b","c","d","g","c"
"i","e","g","i","i","d","c","i","f","f"
"f","h","j","a","b","g","j","g","d","j"
"j","h","c","d","g","g","f","i","c","b"
"j","c","e","h","e","g","a","c","f","h"
"a","e","d","a","h","f","e","f","d","j"
"a","h","c","c","g","e","e","g","e","e"
"f","g","h","i","c","a","g","e","h","d"
"c","d","a","h","g","a","e","i","d","h"
"d","a","i","i","h","i","e","g","a","i"
"d","h","c","e","a","d","c","c","f","d"
"i","a","i","j","f","h","d","i","i","b"
"j","e","b","f","g","a","d","e","e","f"
"b","b","a","d","a","f","f","e","a","f"
"h","c","c","g","b","h","c","e","g","c"
"c","e","c","i","f","d","a","f","b","a"
"f","i","h","c","e","h","i","i","j","g"
"c","j","f","a","j","h","g","f","h","h"
"d","j","f","d","i","a","d","b","g","j"
"g","g","i","d","f","g","a","j","c","d"
"j","h","c","j","d","e","f","c","j","f"
"e","i","j","c","i","j","a","j","d","a"
"c","g","c","a","i","j","d","j","d","c"
"f","c","d","f","h","c","c","e","e","d"
"h","c","i","i","f","e","e","e","j","e"
"e","j","e","f","d","b","c","f","h","j"
"h","h","f","h","g","g","f","a","a","d"
"f","g","b","a","f","f","c","g","c","a"
"d","a","g","i","b","b","a","c","i","c"
"e","h","g","f","d","f","j","b","f","c"
"f","c","e","i","f","b","c","j","g","e"
"h","j","f","f","j","e","g","a","i","j"
"a","i","f","d","e","g","i","g","e","g"
"d","f","h","a","a","a","b","g","h","b"
"i","i","d","d","a","h","f","f","c","i"
