age,income,wealth
46,35293.0,43423.0
20,6694.0,-5839.0
60,92291.0,-5190.0
86,16112.0,2204.0
55,10715.0,-10135.0
93,53485.0,175755.0
52,52031.0,89643.0
45,11655.0,19805.0
40,22375.0,153581.0
61,2339.0,554782.0
47,69566.0,-4010.0
16,59394.0,-10450.0
49,57144.0,42995.0
49,2918.0,884152.0
18,15771.0,411384.0
84,22073.0,24404.0
84,33039.0,38705.0
44,29410.0,17051.0
90,82550.0,1912761.0
48,4690.0,-11135.0
71,17986.0,235109.0
67,11430.0,77047.0
81,26727.0,42480.0
79,38309.0,193692.0
77,82302.0,3425601.0
67,13776.0,175038.0
78,43285.0,-18171.0
34,3579.0,-5477.0
62,18341.0,72011.0
35,63511.0,136356.0
64,14797.0,94286.0
43,30867.0,8504202.0
94,62792.0,124963.0
69,62689.0,20862.0
44,52246.0,361948.0
44,19495.0,906202.0
48,24952.0,288422.0
65,15950.0,13805.0
58,51107.0,38404.0
81,240617.0,505963.0
70,23770.0,5132.0
84,12501.0,271257.0
62,22837.0,763080.0
31,2766.0,-5816.0
90,28220.0,6156.0
88,8981.0,6173751.0
90,19210.0,12172.0
73,22433.0,697157.0
63,46883.0,176478.0
51,27317.0,-13713.0
53,51073.0,157045.0
74,5188.0,2239011.0
39,5421.0,237141.0
78,19912.0,96767.0
48,12731.0,336110.0
45,19061.0,101289.0
82,31383.0,57345.0
31,21258.0,7031.0
56,38783.0,47001.0
58,103327.0,235349.0
60,8315.0,148415.0
83,20530.0,-8822.0
42,29971.0,219636.0
64,17881.0,39658.0
78,61933.0,318979.0
58,1997.0,301111.0
21,167813.0,363570.0
20,7026.0,228640.0
67,27225.0,-1000.0
48,44566.0,295895.0
36,10042.0,615352.0
60,34963.0,14420.0
76,44544.0,47560.0
33,37179.0,16610.0
81,8723.0,134629.0
24,164036.0,14523.0
77,27638.0,490225.0
69,6956.0,56895.0
44,41439.0,284542.0
57,22914.0,-7225.0
46,35045.0,1084526.0
18,624.0,5432559.0
54,82546.0,90200.0
82,25659.0,112579.0
65,25966.0,163336.0
26,14327.0,61266.0
67,47447.0,-4053.0
86,58978.0,25737.0
69,28878.0,395833.0
22,88609.0,-12628.0
19,23857.0,-2856.0
34,14765.0,317633.0
77,7881.0,256434.0
80,12275.0,426327.0
38,49841.0,93918.0
16,20293.0,1643020.0
71,15603.0,577382.0
85,37357.0,37662.0
43,7563.0,112631.0
33,13202.0,656620.0
18,29472.0,191849.0
17,38814.0,278956.0
80,36446.0,40075.0
21,29299.0,70424.0
91,35749.0,1399624.0
42,86119.0,128198.0
64,10086.0,12059.0
25,13794.0,-15946.0
69,74950.0,626824.0
78,6117.0,-12827.0
53,52864.0,120506.0
51,3981.0,3051955.0
72,14034.0,1291574.0
63,46591.0,125112.0
33,17963.0,1063249.0
93,18358.0,7917.0
61,43506.0,39684.0
32,3574.0,1299139.0
46,23088.0,1216426.0
87,32691.0,704780.0
86,17181.0,288710.0
60,11876.0,22936.0
21,11127.0,201250.0
86,34073.0,18261.0
34,4012.0,698425.0
84,32654.0,271894.0
53,13639.0,480825.0
69,16334.0,-9140.0
67,44095.0,346145.0
17,43418.0,46835.0
20,27989.0,40279.0
47,25623.0,-1282.0
29,49818.0,98518.0
55,146318.0,54940.0
18,41757.0,80462.0
85,8417.0,293356.0
77,2737.0,114292.0
61,151789.0,441.0
63,3884.0,13297.0
53,73894.0,269995.0
70,48895.0,161939.0
52,15066.0,937631.0
27,44470.0,932470.0
78,9411.0,7723.0
59,71454.0,399082.0
87,13039.0,291923.0
77,44396.0,145652.0
66,58935.0,187916.0
18,19502.0,-16445.0
53,234631.0,26881.0
89,36176.0,126701.0
90,48854.0,408667.0
22,13711.0,1558965.0
37,20812.0,601615.0
68,85631.0,5983430.0
45,9849.0,-1979.0
83,2634.0,2135136.0
84,15780.0,82368.0
30,9075.0,1125157.0
22,30767.0,107030.0
21,37676.0,183735.0
89,10469.0,260453.0
30,15991.0,-17875.0
19,8811.0,27973.0
79,9324.0,1269051.0
38,27611.0,611881.0
59,41307.0,19825.0
22,26542.0,61385.0
69,57095.0,144704.0
50,59168.0,241800.0
32,20484.0,3307836.0
60,12701.0,24974.0
84,8620.0,324647.0
71,6380.0,147432.0
75,25328.0,89975356.0
61,17623.0,-14589.0
56,184184.0,4983753.0
46,24891.0,159179.0
25,5381.0,-14552.0
25,91399.0,-8842.0
67,2571.0,63145.0
17,5724.0,45924.0
44,31684.0,116547.0
77,21704.0,14414.0
46,78621.0,306177.0
63,5169.0,5484489.0
43,6664.0,-6847.0
19,12187.0,125148.0
75,14552.0,65327.0
42,5293.0,2327127.0
64,27157.0,217841.0
76,12175.0,103601.0
46,5049.0,9299.0
61,8986.0,-9139.0
84,66460.0,1483840.0
59,14306.0,61045.0
59,18748.0,119753.0
71,53592.0,2380.0
40,29389.0,151154.0
64,7696.0,30162.0
19,16002.0,151825.0
94,11849.0,1214309.0
83,25771.0,673091.0
69,12438.0,2273362.0
56,63426.0,1605987.0
64,9982.0,16745.0
25,13035.0,300267.0
89,23668.0,45446.0
94,148860.0,9434.0
34,48434.0,112528.0
28,36794.0,76900.0
77,12754.0,-14922.0
24,62564.0,110141.0
69,181278.0,241827.0
28,94838.0,4520.0
62,60804.0,225637.0
26,46592.0,10521.0
38,11209.0,319278.0
81,34210.0,-12208.0
33,43869.0,6005.0
77,16703.0,-372.0
63,150924.0,5958241.0
74,33230.0,-13287.0
92,53678.0,86477.0
20,27622.0,655344.0
73,2756.0,403575.0
38,14945.0,81341.0
60,20189.0,76254.0
33,67940.0,59459.0
35,28201.0,22593.0
31,24864.0,819.0
63,29702.0,51156.0
81,18824.0,2162.0
75,10504.0,161579.0
56,6326.0,93952.0
85,28267.0,783702.0
19,39382.0,314417.0
64,349355.0,209994.0
54,32837.0,195674.0
27,42980.0,2304565.0
20,16718.0,151276.0
81,36333.0,39783.0
36,52212.0,1649209.0
45,7695.0,58271.0
39,5475.0,42308.0
56,69837.0,-11083.0
67,71822.0,1799213.0
24,32577.0,133279.0
20,9127.0,151121.0
