age,income,wealth
69,57325.0,74086.0
66,64754.0,-19560.0
68,203900.0,-19560.0
48,78328.0,67077.0
59,25147.0,426437.0
53,22152.0,-19560.0
36,32359.0,424805.0
28,67480.0,-19560.0
17,31524.0,431511.0
16,98611.0,73467.0
16,19121.0,213300.0
54,95075.0,366457.0
55,10616.0,6969998.0
75,10954.0,416842.0
50,12320.0,117376.0
73,42418.0,149110.0
50,130758.0,-19560.0
42,54364.0,51259.0
16,46395.0,259735.0
63,36220.0,-19560.0
25,86155.0,161533.0
34,102950.0,1605184.0
84,24191.0,21662.0
24,20029.0,-19560.0
67,9667.0,558518.0
53,16024.0,295566.0
70,20653.0,241907.0
66,84119.0,127155.0
85,10635.0,200349.0
16,46344.0,451204.0
28,143179.0,264717.0
28,19620.0,-19560.0
51,64716.0,-19560.0
42,18766.0,223274.0
16,14739.0,237488.0
18,27703.0,214795.0
60,19167.0,5357848.0
17,18800.0,684372.0
58,27403.0,2197057.0
88,62676.0,-19560.0
75,12787.0,-3418.0
73,89740.0,16300.0
87,42569.0,211810.0
16,72735.0,102961.0
85,11389.0,633638.0
16,13521.0,-19560.0
53,45307.0,84957.0
30,37397.0,1035041.0
54,199629.0,57622.0
27,19128.0,73791.0
49,46213.0,350155.0
87,22293.0,-19560.0
92,102875.0,290135.0
61,163998.0,171129.0
78,52790.0,-19560.0
21,56188.0,-19560.0
64,26491.0,2104.0
61,18542.0,106787.0
18,32738.0,-19560.0
54,11908.0,443737.0
41,5336.0,17295893.0
38,23877.0,6723846.0
75,51048.0,2484483.0
51,6081.0,8470.0
50,28878.0,1831666.0
20,24784.0,156807.0
44,17042.0,10637.0
25,77287.0,2307833.0
60,71493.0,216194.0
87,25984.0,179791.0
23,14335.0,585345.0
67,244654.0,177689.0
75,52945.0,119780.0
50,19411.0,1573394.0
51,63731.0,-19560.0
22,6177.0,294454.0
16,16395.0,369718.0
63,34790.0,572663.0
16,65044.0,311184.0
26,38358.0,108471.0
75,152318.0,493206.0
66,25945.0,533851.0
18,18523.0,195683.0
51,45208.0,1068691.0
52,56714.0,-19326.0
30,26719.0,464635.0
16,137747.0,371551.0
64,160011.0,-19560.0
38,48996.0,852596.0
16,25340.0,373014.0
22,58545.0,-19560.0
71,85980.0,321806.0
74,46186.0,442372.0
52,102340.0,540280.0
