age,income,wealth
94,16519.0,199531.0
39,8215.0,458615.0
35,15770.0,220298.0
63,31035.0,1685846.0
24,29199.0,48125.0
28,2344.0,248738.0
46,21647.0,14322286.0
50,19160.0,166772.0
39,624.0,521515.0
47,20944.0,55920.0
45,50540.0,349033.0
76,10561.0,326396.0
27,624.0,2741181.0
48,7849.0,1387584.0
31,93707.0,179187.0
94,11030.0,247427.0
45,4258.0,403824.0
47,143960.0,281002.0
87,19100.0,-19560.0
34,17597.0,-19560.0
50,26955.0,-19560.0
72,624.0,-19560.0
84,129756.0,534039.0
36,66144.0,4943459.0
94,27301.0,535369.0
34,10672.0,-19560.0
76,51047.0,55376.0
43,27762.0,350237.0
84,22145.0,129862.0
56,12891.0,141683.0
40,3013.0,266220.0
72,3637.0,54037.0
83,13732.0,207762.0
56,11706.0,2460214.0
86,98557.0,3828572.0
72,21497.0,-19560.0
46,624.0,1590207.0
16,13188.0,387586.0
85,15182.0,202396.0
31,15078.0,141270.0
83,10912.0,1266628.0
69,30980.0,384173.0
72,55687.0,309094.0
84,56308.0,1475006.0
84,17909.0,5441870.0
40,16255.0,73636.0
91,5212.0,216516.0
70,19847.0,-19560.0
84,16733.0,361651.0
87,17510.0,-19560.0
37,10417.0,5321034.0
36,15593.0,523426.0
57,5036.0,385412.0
41,34208.0,1968583.0
94,24017.0,-3614.0
83,9003.0,721918.0
94,8303.0,321164.0
83,5668.0,-19560.0
43,23204.0,418101.0
94,10693.0,328821.0
72,6432.0,422133.0
33,18450.0,-19560.0
60,9941.0,221850.0
36,42906.0,-19560.0
80,14539.0,495993.0
24,145325.0,-19560.0
55,21622.0,1107740.0
62,6901.0,-19560.0
86,11384.0,2365945.0
94,624.0,-19560.0
94,8434.0,48663.0
42,5085.0,508833.0
94,2580.0,-19560.0
70,56607.0,621159.0
91,4875.0,190541.0
93,5745.0,141104.0
52,1225.0,-19560.0
73,43694.0,141680.0
56,20924.0,-19560.0
94,5629.0,222237.0
60,1016.0,661319.0
68,20664.0,580070.0
84,14728.0,205979.0
65,8069.0,335666.0
30,17538.0,-19560.0
77,624.0,126683.0
67,13762.0,300209.0
40,85660.0,64070.0
80,1971.0,384424.0
71,13971.0,1321387.0
73,71703.0,-19560.0
17,11374.0,-19560.0
88,624.0,57068.0
48,21613.0,1825450.0
79,29567.0,-19560.0
43,624.0,12651400.0
59,12743.0,45925.0
73,624.0,9400257.0
94,136052.0,103075.0
28,32487.0,265606.0
51,624.0,-19560.0
78,58316.0,-19560.0
59,33529.0,-19560.0
88,55590.0,-19560.0
58,37831.0,-19560.0
71,43632.0,268037.0
88,2973.0,502492.0
18,6728.0,-19560.0
60,112315.0,-19560.0
94,150067.0,927408.0
57,6892.0,108237.0
86,32558.0,-19560.0
81,16435.0,-19560.0
75,44236.0,260090.0
90,23774.0,-19560.0
42,30442.0,-19560.0
79,89407.0,5863675.0
61,95900.0,83539.0
90,13529.0,33070.0
61,25045.0,202940.0
45,2348.0,52651.0
76,15044.0,484144.0
43,624.0,268866.0
41,54919.0,427475.0
30,624.0,174603.0
63,1125.0,72651.0
41,68661.0,192067.0
85,49096.0,3041760.0
78,23190.0,139314.0
94,6363.0,297735.0
46,34184.0,345988.0
92,86772.0,81357.0
87,109735.0,267377.0
58,2876.0,385779.0
84,10151.0,464159.0
79,1482.0,60360.0
84,15207.0,263832.0
81,624.0,530313.0
67,7339.0,-19144.0
79,90898.0,3075144.0
88,112997.0,355798.0
94,60596.0,533576.0
59,14085.0,27242.0
16,6293.0,185854.0
73,13336.0,1663318.0
77,86925.0,27805.0
43,624.0,82096.0
83,14063.0,313455.0
47,818.0,263854.0
85,4395.0,762143.0
26,34372.0,6432898.0
47,77011.0,7195.0
65,25275.0,1817891.0
57,624.0,-3372.0
37,9886.0,-19560.0
92,624.0,403939.0
51,624.0,72443.0
33,4148.0,81836.0
86,624.0,23746.0
88,35482.0,-19560.0
86,3823.0,676773.0
80,28607.0,423269.0
27,1407.0,-19560.0
86,20563.0,206100.0
73,9150.0,481734.0
55,624.0,474424.0
58,29734.0,188011.0
51,85608.0,15060.0
94,13161.0,-16224.0
67,8677.0,-19560.0
87,624.0,-19560.0
90,1531.0,136161.0
90,53259.0,10867259.0
27,86149.0,-10543.0
44,10951.0,509407.0
93,624.0,359424.0
63,10671.0,200813.0
53,48429.0,-19560.0
70,10045.0,1882.0
86,21102.0,105116.0
87,13373.0,54161.0
66,144958.0,152766.0
63,11195.0,-19560.0
89,4235.0,-19560.0
75,624.0,-19560.0
94,41144.0,381944.0
94,15342.0,269833.0
33,18232.0,61327.0
80,19881.0,277531.0
28,39930.0,-19560.0
35,624.0,290074.0
16,55716.0,421393.0
84,6016.0,330372.0
60,624.0,-19560.0
35,5947.0,478002.0
94,14331.0,19775.0
77,4033.0,2078143.0
33,10505.0,216321.0
89,8961.0,-19560.0
85,45521.0,270268.0
56,7933.0,-19560.0
18,18715.0,55266.0
82,29471.0,-19560.0
32,10985.0,23615.0
84,6906.0,29894.0
90,12280.0,-19560.0
89,624.0,-19560.0
55,29463.0,2607535.0
44,18517.0,1775069.0
89,7850.0,264369.0
49,49993.0,60972.0
84,624.0,377287.0
93,624.0,635678.0
16,37074.0,375239.0
32,9430.0,161802.0
67,5281.0,428606.0
88,6868.0,-19560.0
33,1724.0,244721.0
53,9076.0,-19560.0
28,24094.0,925364.0
34,13808.0,-19560.0
90,5718.0,170054.0
74,19322.0,17778.0
69,23075.0,129707.0
42,18339.0,7002325.0
22,5709.0,514203.0
74,123513.0,492664.0
40,13645.0,107990.0
66,11340.0,2258028.0
54,624.0,60842.0
83,624.0,-19560.0
80,55480.0,234837.0
79,26162.0,10057707.0
41,22994.0,46575.0
86,57193.0,1820977.0
37,624.0,239769.0
59,22466.0,279309.0
83,624.0,270061.0
80,31550.0,2503701.0
80,24213.0,187037.0
58,7545.0,204399.0
72,10203.0,2579634.0
68,19493.0,266085.0
81,624.0,543281.0
87,29373.0,129871.0
27,56670.0,-19560.0
28,24431.0,602692.0
22,4422.0,-19560.0
16,7063.0,168471.0
79,6304.0,1526915.0
48,624.0,4592494.0
56,10254.0,-2655.0
58,624.0,507568.0
65,6116.0,151979.0
51,18259.0,169483.0
65,624.0,9949.0
94,13772.0,-19560.0
70,624.0,192550.0
20,41748.0,-19560.0
94,34032.0,277552.0
75,7572.0,1862980.0
50,624.0,208686.0
94,1080.0,493343.0
77,2340.0,830130.0
41,47690.0,3141791.0
66,105901.0,165994.0
80,624.0,160988.0
93,10386.0,162318.0
62,21310.0,90628.0
70,16882.0,318503.0
77,48200.0,-4679.0
41,624.0,-726.0
38,2567.0,-19560.0
38,17400.0,116128.0
82,86978.0,393928.0
80,5362.0,78847.0
32,11680.0,173361.0
16,7746.0,5570251.0
86,5436.0,60414.0
69,40675.0,24115.0
78,53556.0,-19560.0
31,19207.0,-19560.0
84,14039.0,-19560.0
64,13412.0,-19560.0
90,8164.0,354338.0
60,624.0,527341.0
81,59984.0,421555.0
35,69778.0,270461.0
82,17690.0,-19560.0
57,43167.0,-19560.0
74,624.0,-19560.0
54,27466.0,393217.0
94,11146.0,-10838.0
