age,income,wealth
58.0,348425.0,9918645.0
74.0,328752.0,26622768.0
61.0,206002.0,45863484.0
56.0,240329.0,54807480.0
49.0,56206.0,32283279.0
64.0,306616.0,20940683.0
50.0,234690.0,11732606.0
83.0,121804.0,24754391.0
92.0,3655.0,29619374.0
46.0,108205.0,49210252.0
78.0,12112.0,48853124.0
57.0,299790.0,31055390.0
60.0,229218.0,49721340.0
89.0,323269.0,35516790.0
22.0,136571.0,76617189.0
21.0,220413.0,88389839.0
20.0,223023.0,40166915.0
82.0,179623.0,2241398.0
78.0,336887.0,10866768.0
86.0,199901.0,37471165.0
91.0,17901.0,8602509.0
77.0,222381.0,58144016.0
55.0,17123.0,79262026.0
77.0,288987.0,88690359.0
26.0,324152.0,87001596.0
63.0,331746.0,86097362.0
25.0,73683.0,8885441.0
89.0,258381.0,34435093.0
59.0,206227.0,37213081.0
51.0,15353.0,76373000.0
37.0,188068.0,25219379.0
78.0,160261.0,86963159.0
52.0,221390.0,17510608.0
62.0,121349.0,27329447.0
18.0,10446.0,71095114.0
63.0,24354.0,63694946.0
66.0,86927.0,63461389.0
64.0,45289.0,64142064.0
89.0,42675.0,30195448.0
69.0,342627.0,2716323.0
43.0,276193.0,69372273.0
49.0,22041.0,63692549.0
70.0,88080.0,44634801.0
21.0,288834.0,30427003.0
68.0,278586.0,52565669.0
70.0,308907.0,30636799.0
32.0,81371.0,88959517.0
26.0,273119.0,18485307.0
40.0,270838.0,3460337.0
47.0,187734.0,8254237.0
62.0,109588.0,39338618.0
49.0,51046.0,56147515.0
90.0,214648.0,66065712.0
25.0,348395.0,72426382.0
34.0,330637.0,34918020.0
31.0,263531.0,32658619.0
67.0,200241.0,26012038.0
38.0,135653.0,47836515.0
54.0,130520.0,29269638.0
34.0,323355.0,65388822.0
31.0,49565.0,31814930.0
26.0,239592.0,76660149.0
70.0,174257.0,76542826.0
26.0,160421.0,84465608.0
30.0,225966.0,45601092.0
45.0,16805.0,18532291.0
81.0,290677.0,28711599.0
21.0,156514.0,40377821.0
81.0,109649.0,8466620.0
21.0,347294.0,68886348.0
91.0,345405.0,17168562.0
52.0,307676.0,49860472.0
92.0,246316.0,55741471.0
61.0,1149.0,20585702.0
72.0,87998.0,53915504.0
16.0,179358.0,72195542.0
38.0,327775.0,15335467.0
27.0,7365.0,4118453.0
39.0,205947.0,72100614.0
27.0,151025.0,16175396.0
43.0,234087.0,42275323.0
51.0,103153.0,7001251.0
22.0,88477.0,25644063.0
68.0,200540.0,1810466.0
62.0,15094.0,66990890.0
37.0,20272.0,80776591.0
58.0,257124.0,62909651.0
23.0,6345.0,58723625.0
62.0,70794.0,39743926.0
89.0,183250.0,75928826.0
43.0,341015.0,634727.0
69.0,140842.0,58213583.0
26.0,149984.0,14051657.0
73.0,111301.0,5413046.0
39.0,122758.0,49277615.0
31.0,248062.0,44216465.0
62.0,246668.0,88069944.0
16.0,254162.0,73271437.0
81.0,175741.0,1117595.0
18.0,16807.0,37792427.0
69.0,189724.0,72016841.0
39.0,278655.0,61340590.0
72.0,6113.0,212402.0
93.0,277957.0,48460036.0
36.0,244462.0,76791837.0
60.0,223197.0,76522261.0
62.0,266969.0,46258782.0
60.0,273870.0,48454816.0
35.0,307432.0,30725570.0
90.0,199474.0,33761394.0
48.0,93144.0,40200506.0
81.0,106287.0,4995483.0
67.0,142303.0,1475343.0
42.0,229635.0,52809009.0
82.0,340304.0,55432247.0
45.0,11816.0,86129697.0
85.0,153439.0,70079103.0
59.0,297860.0,9261499.0
85.0,311409.0,28657396.0
69.0,140874.0,28121260.0
73.0,289285.0,19472494.0
53.0,100782.0,29162111.0
92.0,238305.0,60887660.0
67.0,86929.0,76855706.0
47.0,76381.0,1400236.0
63.0,132896.0,1706978.0
20.0,298489.0,6294953.0
40.0,45258.0,20139460.0
67.0,241480.0,19895739.0
36.0,317997.0,49810749.0
66.0,179540.0,86462515.0
51.0,256948.0,56876513.0
24.0,74797.0,57706617.0
41.0,301566.0,78777471.0
59.0,243611.0,54644206.0
60.0,349330.0,72293456.0
60.0,317188.0,77177603.0
69.0,51193.0,55705504.0
68.0,62571.0,70019912.0
48.0,332592.0,2969429.0
84.0,63143.0,87835094.0
43.0,116430.0,7023850.0
48.0,175579.0,55562350.0
86.0,257947.0,38973423.0
79.0,102066.0,88746297.0
72.0,36746.0,82785326.0
23.0,151422.0,8147085.0
89.0,252696.0,34826166.0
74.0,57096.0,35549779.0
91.0,43495.0,24579418.0
26.0,142896.0,28532326.0
86.0,337736.0,7977405.0
28.0,64358.0,85644771.0
65.0,218171.0,69203973.0
27.0,97500.0,26876290.0
80.0,10100.0,51017744.0
79.0,119552.0,56282710.0
61.0,198413.0,50601543.0
49.0,346094.0,22825411.0
21.0,71765.0,76975373.0
69.0,304504.0,87433945.0
