age,income,wealth
66.0,69441.0,919154.0
42.0,32330.0,40122006.0
37.0,31637.0,9865518.0
17.0,13654.0,810530.0
57.0,21333.0,785058.0
60.0,10195.0,25440429.0
74.0,25452.0,2733114.0
33.0,17185.0,65252103.0
80.0,3655.0,83616323.0
18.0,21022.0,4212794.0
35.0,29549.0,48853124.0
84.0,3369.0,4056915.0
52.0,2543.0,4723882.0
93.0,9411.0,76014502.0
57.0,14515.0,121510.0
17.0,11174.0,2894669.0
35.0,31221.0,4168948.0
67.0,40131.0,56238347.0
54.0,23029.0,46864734.0
27.0,112718.0,64469640.0
17.0,17901.0,89597934.0
54.0,13142.0,53644270.0
90.0,17123.0,2766347.0
34.0,27439.0,48192647.0
61.0,80040.0,1506425.0
36.0,17888.0,18601175.0
22.0,3937.0,4385696.0
34.0,14270.0,79432551.0
39.0,66735.0,1215114.0
55.0,15353.0,4377068.0
18.0,31139.0,2720650.0
93.0,264881.0,46465447.0
48.0,12152.0,4011371.0
27.0,16730.0,4830718.0
57.0,45319.0,3598927.0
86.0,59227.0,14197742.0
93.0,52053.0,9464439.0
92.0,27853.0,10145114.0
86.0,269350.0,79692652.0
65.0,11332.0,29714798.0
32.0,32082.0,1876086.0
61.0,4605.0,696107.0
51.0,18334.0,35635309.0
72.0,44723.0,3428528.0
60.0,17038.0,25567194.0
47.0,186851.0,26137053.0
32.0,46498.0,3464347.0
65.0,11571.0,486324.0
64.0,44163.0,3460337.0
90.0,13369.0,3754491.0
27.0,266517.0,7840397.0
76.0,16173.0,2150565.0
63.0,162339.0,88564441.0
84.0,17101.0,430449.0
57.0,51652.0,3419800.0
31.0,1983.0,1160398.0
87.0,8439.0,26012038.0
92.0,48471.0,2839057.0
27.0,25901.0,2271164.0
53.0,9497.0,2392381.0
23.0,14692.0,316710.0
88.0,12917.0,164470.0
31.0,34765.0,22545877.0
92.0,20929.0,3470184.0
73.0,69037.0,603634.0
45.0,34241.0,533308.0
22.0,11692.0,51210328.0
33.0,17021.0,4379855.0
34.0,57340.0,57963824.0
33.0,50872.0,1390161.0
44.0,31547.0,89164495.0
25.0,28691.0,363268.0
73.0,19641.0,87239692.0
34.0,1149.0,11586210.0
61.0,815.0,40416267.0
59.0,4993.0,199609.0
27.0,31353.0,1836230.0
43.0,24802.0,4118453.0
66.0,49018.0,104681.0
74.0,63843.0,2676158.0
20.0,24848.0,1777610.0
51.0,15971.0,2501506.0
69.0,71040.0,3145334.0
25.0,26174.0,28808941.0
54.0,49967.0,8494194.0
83.0,37708.0,4280912.0
58.0,239688.0,4412956.0
93.0,6345.0,226929.0
70.0,35921.0,8245706.0
81.0,8884.0,75928826.0
35.0,9721.0,634727.0
69.0,1349.0,26715362.0
18.0,10492.0,552420.0
61.0,198484.0,36911267.0
59.0,702.0,4280157.0
35.0,3950.0,3718753.0
70.0,19993.0,7074520.0
79.0,10051.0,1275504.0
65.0,18812.0,55114545.0
33.0,69117.0,1794461.0
69.0,15359.0,27019383.0
43.0,34543.0,2843895.0
91.0,23550.0,36210369.0
31.0,33845.0,84458002.0
75.0,279335.0,296159.0
68.0,48831.0,4526328.0
58.0,40294.0,10260816.0
68.0,238997.0,7957104.0
74.0,28447.0,3727095.0
28.0,7672.0,83258598.0
59.0,5961.0,4202539.0
66.0,1668.0,58992433.0
40.0,2810.0,32973563.0
69.0,2960.0,3311806.0
74.0,43882.0,50932501.0
49.0,29253.0,634526.0
34.0,31383.0,65579358.0
79.0,53748.0,4761753.0
34.0,14988.0,64655362.0
73.0,1382.0,28121260.0
18.0,45173.0,37471478.0
18.0,13599.0,2163637.0
29.0,11630.0,83386389.0
55.0,34620.0,18359010.0
16.0,111254.0,1400236.0
24.0,28276.0,10706469.0
59.0,2068.0,1795207.0
21.0,306806.0,2140477.0
83.0,32242.0,24395485.0
21.0,4139.0,313545.0
62.0,5174.0,14466582.0
94.0,65146.0,2879563.0
82.0,39924.0,3709667.0
25.0,127200.0,2281793.0
67.0,16936.0,5147002.0
56.0,18035.0,9297015.0
83.0,38203.0,5181670.0
61.0,16320.0,24207284.0
45.0,10262.0,25022454.0
17.0,1297.0,2969429.0
30.0,63143.0,69836111.0
86.0,29247.0,2524104.0
36.0,1213.0,1565401.0
35.0,31272.0,65971898.0
52.0,49757.0,52748330.0
49.0,19310.0,33288123.0
31.0,29366.0,3647339.0
31.0,8585.0,70824132.0
43.0,74533.0,40049524.0
71.0,26058.0,87575859.0
69.0,38276.0,1533851.0
82.0,267990.0,66474100.0
20.0,29485.0,149601.0
81.0,96115.0,10707277.0
35.0,10317.0,4377561.0
25.0,10100.0,60017236.0
91.0,32369.0,51782964.0
81.0,6611.0,5604085.0
92.0,14799.0,326682.0
63.0,2019.0,479695.0
88.0,8082.0,33436995.0
57.0,41640.0,2765793.0
61.0,25935.0,38434135.0
34.0,67467.0,65310819.0
48.0,61868.0,85978011.0
64.0,70148.0,58658292.0
47.0,33081.0,1594482.0
75.0,20133.0,4221382.0
42.0,145642.0,36787540.0
24.0,18457.0,1192048.0
93.0,13418.0,2154452.0
84.0,18395.0,4094140.0
63.0,16072.0,4241584.0
17.0,282980.0,-13694.0
52.0,7840.0,47893264.0
70.0,19142.0,1043092.0
88.0,40924.0,2925441.0
17.0,7416.0,75318994.0
49.0,263083.0,35470562.0
63.0,83754.0,3055645.0
46.0,135083.0,3792668.0
89.0,6864.0,17009638.0
69.0,32623.0,5203368.0
25.0,1974.0,177046.0
45.0,71312.0,75300689.0
58.0,24250.0,11346433.0
75.0,33786.0,4470581.0
48.0,13814.0,9721897.0
49.0,29783.0,37712023.0
83.0,27873.0,1275393.0
22.0,206441.0,3934355.0
76.0,25248.0,2156948.0
19.0,227834.0,4091631.0
30.0,241290.0,79658294.0
22.0,21382.0,40472780.0
92.0,24820.0,2679293.0
66.0,24296.0,4372908.0
61.0,89958.0,760724.0
42.0,6740.0,1967888.0
86.0,3712.0,2583053.0
33.0,11365.0,4382523.0
79.0,46891.0,34033975.0
79.0,862.0,3873912.0
92.0,26020.0,2808555.0
76.0,27721.0,2286114.0
57.0,15823.0,1741827.0
77.0,26710.0,28637674.0
23.0,19463.0,1308846.0
53.0,175891.0,931551.0
87.0,33093.0,71807979.0
84.0,31848.0,87889549.0
50.0,15592.0,3876633.0
62.0,196999.0,26461281.0
31.0,29359.0,4220550.0
48.0,54603.0,1052130.0
74.0,15037.0,46497592.0
46.0,23878.0,2829409.0
24.0,17278.0,1429601.0
70.0,8843.0,5127826.0
90.0,53510.0,57396563.0
88.0,33911.0,15956301.0
34.0,28968.0,65391098.0
48.0,5630.0,3177379.0
68.0,227941.0,49993946.0
34.0,233867.0,4128796.0
71.0,3359.0,83134946.0
78.0,10184.0,30091969.0
57.0,20622.0,2681747.0
51.0,195471.0,79199513.0
20.0,121300.0,39172829.0
19.0,29222.0,379998.0
90.0,4854.0,2215613.0
79.0,15949.0,926689.0
63.0,116136.0,1733918.0
83.0,34549.0,2283166.0
93.0,9044.0,1573119.0
21.0,16106.0,1810545.0
63.0,12454.0,3269168.0
91.0,1394.0,175402.0
26.0,22250.0,8784614.0
42.0,127590.0,61194611.0
93.0,38462.0,716394.0
63.0,4777.0,2487783.0
26.0,4565.0,344629.0
58.0,15939.0,38234911.0
60.0,8695.0,3079106.0
86.0,50780.0,6369080.0
17.0,229705.0,1394176.0
28.0,10474.0,3011982.0
90.0,35732.0,4188986.0
42.0,348140.0,3911579.0
45.0,35595.0,73710432.0
55.0,24859.0,48862989.0
39.0,14601.0,40995777.0
31.0,18058.0,67740855.0
63.0,123020.0,4404531.0
38.0,14993.0,3413335.0
38.0,61828.0,7247477.0
93.0,36163.0,83490236.0
89.0,14174.0,1370317.0
74.0,20012.0,4026081.0
42.0,28723.0,3817600.0
76.0,49068.0,2148035.0
45.0,29806.0,72968039.0
44.0,7248.0,25522775.0
53.0,35958.0,48245565.0
20.0,25667.0,4459965.0
67.0,243231.0,8036687.0
45.0,6429.0,391028.0
35.0,4948.0,4434922.0
73.0,3027.0,89320701.0
68.0,26958.0,65598091.0
69.0,114543.0,1469546.0
79.0,1898.0,84273853.0
21.0,7734.0,2665084.0
55.0,29546.0,76907039.0
44.0,34905.0,74512036.0
45.0,25585.0,49568525.0
53.0,60537.0,21528358.0
80.0,130895.0,66682808.0
45.0,21984.0,3265774.0
