"age","income","wealth"
32,20624,133279
89,23668,3718
64,17881,143418
54,32837,3644234
94,10344,332522
91,66467,8594874
68,167333,18461
90,9255,82368
71,76872,63117
22,11127,28784
43,30867,1799988
28,1599,406998
33,4481,3051955
83,26161,327365
66,20907,13805
54,26116,20066
21,167813,-12628
51,18568,57125
82,11576,-16659
51,5888,27973
38,13487,1696916
21,37676,278956
34,17963,60394
32,4012,3051955
32,3579,71946
22,21361,1801
16,27693,787608
16,40807,278956
69,40666,438689
84,122026,126919
60,30291,33248
55,2645,-16248
89,98575,19955
26,18483,160458
22,11127,4685766
91,19210,285322
86,78118,213043
36,8322,1669535
40,38402,93918
34,14391,-17875
18,19502,-16445
92,20623,1479339
94,33492,396154
77,27638,2149630
22,5224,474908
32,20484,3191796
59,43894,477050
60,94310,5094
22,15225,180565
90,8865,324647
42,52313,110141
70,7183,274181
76,110384,385909
45,11655,267685
84,15780,271257
68,33913,48090
20,6694,57948
70,29395,1799450
84,146339,300971
85,38822,142966
16,53164,26626
63,7526,83057
47,5049,30641
50,50087,305799
85,11713,-16299
27,25977,331302
54,19836,1577576
33,25004,70424
61,140198,450000
86,35854,6714
86,38822,6714
84,6213,572216
43,43521,585818
33,17318,830721
17,14570,-17875
52,58895,120506
45,9849,109961
85,11713,132921
27,42514,106348
44,41439,177359
18,14858,362281
30,132235,153790
55,87666,882246
33,3574,-5816
67,44391,-4053
64,20718,213099
82,24340,3718
44,95894,971149
65,31672,100632
62,2319,-5477
33,116018,-5190
17,5927,-1979
43,43521,8504202
78,307980,4698693
48,4690,42247
65,49234,31300
31,14765,180565
32,67940,-8318
61,7815,120349
68,33913,138673
64,17881,579383
63,5062,13297
86,17181,132921
20,12696,-8515
45,11655,937631
82,10554,339536
21,101661,2391521
63,29702,213099
67,2571,-632
26,11795,100507
56,67431,306177
20,7026,27973
64,171835,158161
37,37181,795702
18,22673,141019
28,12640,173833
81,15106,12172
91,11743,91120
77,59244,47560
94,47316,52052
32,7209,42247
60,9457,30641
79,9324,212343
37,2448,406998
30,132235,153790
90,53725,243984
36,19270,-7069
40,19874,264285
50,9676,968724
79,106164,3425601
81,13507,54746
92,35443,112579
46,13551,42587
93,19154,84810
78,43285,1210162
64,10086,12059
31,3947,406998
27,21475,127214
89,23668,56096
45,13180,54642
71,27320,-8545
88,33709,57345
62,2766,69439
74,7065,366906
60,34963,62745
20,183981,23364
74,6505,366906
90,15782,288710
78,307980,3425601
94,17270,-12399
37,26942,211426
72,9263,147432
23,7884,-11135
26,16944,122713
72,14034,-17309
71,27320,2786434
19,154988,363570
49,7921,41461
39,5475,1863336
66,8116,39789
64,12629,-5537
54,16509,1762847
46,44852,55880
64,171835,257028
30,15991,217030
62,16366,125112
48,12731,-1282
24,105611,2391521
43,21186,585818
84,64775,3124755
67,44391,512980
82,15431,19029
94,33492,23017
88,12533,1479339
67,6309,298540
34,3074,71946
48,24952,1216426
34,37179,106348
32,24864,27309
44,41439,86651
26,3558,116266
46,20951,-14326
73,2262,-18807
64,9982,15325204
59,5104,-14897
73,65693,697157
49,43081,6941
37,11601,5649421
77,7881,25640
84,140140,19955
83,26161,18261
59,38322,72011
69,29420,48090
28,163826,80752
38,43346,1663319
65,8744,91355
93,18358,513117
67,44095,-1000
61,17623,39658
44,19495,17830
41,25570,188954
22,17528,1420137
65,10878,1228780
63,180607,241827
24,105611,-12628
44,95894,59459
43,11928,1609420
25,6119,968724
91,8506,-10398
64,7696,1068715
26,120506,-8842
87,19614,149611
89,98575,1862
53,39845,41903
71,6380,102339
82,20530,71300
30,9075,18810
69,6956,1173096
66,30108,867963
71,53592,144704
46,38012,228214
68,3387,4529120
22,13711,15417
43,8081,42247
43,30867,-8009
73,21385,4112
87,8260,25398
70,97652,209994
54,36882,332374
59,13734,176478
76,44544,-18171
21,30563,181548
62,3884,441011
40,12829,3434
68,33913,-18975
65,15950,867370
66,20907,13805
61,17623,119753
33,33303,-2856
57,3821,-16248
67,5623,393115
94,10080,1214309
20,183981,-6247
42,5293,40592
37,27023,179116
68,85631,-12690
92,35749,1824186
61,43035,38404
63,29702,-14589
71,6380,91355
61,20430,176478
20,27989,273911
40,19874,153581
92,19210,102033
20,183981,-6247
64,20718,213099
81,24813,5664
49,63393,12206
62,8226,211896
84,9138,573096
64,17881,39658
73,23461,-13287
77,21704,32547
19,30021,331302
39,5421,93952
71,28916,-19560
85,8417,70614
66,30108,250229
57,15453,94286
18,14858,135497
90,55958,243984
41,140935,882246
69,57271,311728
27,68470,33320
79,63927,13186607
16,10079,12059
53,52864,2380
32,17963,160458
42,3867,554782
58,19769,217841
88,8981,7430122
27,6119,-6847
25,120506,-12628
22,26542,231571
38,24587,109465
18,29472,597198
49,2918,272954
56,184184,109030
74,8927,2239011
75,28008,513091
82,2634,2135136
75,2439,33417
36,8322,4624
40,5771,31638
58,51107,-5622
68,7810,62902
29,92151,-3680
56,15423,-7069
22,37676,278956
53,27317,19805
32,25918,702732
19,8119,148415
28,45142,46838
85,45511,283483
86,38822,25737
19,30021,959041
46,14061,115480
89,44733,175755
25,7439,80132
46,87955,80752
26,28902,-7106
52,39845,157045
85,16675,146332
57,3821,-5816
76,110384,4698693
33,169344,422112
87,72770,3124755
58,103327,96924
64,23516,475767
37,29603,136923
66,30108,13805
56,15423,251512
39,5475,1092964
16,14570,104501
64,7696,274181
84,10771,573096
56,67431,269995
26,7439,228640
24,164036,-112
56,63426,4451
91,20623,248449
86,60062,35950
59,32411,184332
56,26667,3140053
36,14946,81341
66,18071,163336
27,21475,-7106
68,30594,161939
56,12169,-6095
94,33492,164749
91,19210,513117
69,74950,626824
17,43418,943865
40,29389,41621
69,16334,348455
65,39541,-9643
47,13551,-1282
71,36035,298945
21,21361,15043
91,35443,112579
47,38299,17384
71,76872,209387
58,103327,40513
94,11849,788135
47,5049,80132
56,12169,-15773
94,11849,332522
36,26942,71577
74,22433,5984
48,27573,11241
57,15453,176478
60,11117,4685766
55,55913,225637
70,15012,209324
43,7563,1092964
52,3593,512620
24,16674,151825
28,19370,1282839
48,4690,27973
77,110612,4698693
41,43069,3859892
69,62689,717294
71,65363,128018
88,21258,2150369
46,16681,460202
30,182746,4983753
89,6705,38593
49,131660,68200
69,28878,-8545
76,29127,37049
27,44052,6005
32,14408,568456
52,28767,-13713
20,154988,14523
88,8981,134629
32,17290,40414
86,45511,37662
59,13734,143418
71,50897,161939
69,8906,273433
85,11715,7917
74,6505,2239011
67,13776,271486
33,4012,2004793
20,39382,-2188
26,3558,1973138
77,13857,513117
34,57184,2220204
62,4800,18810
63,5062,-15872
24,28632,522229
55,13929,-7069
91,16116,917538
79,20427,2204
61,8983,289130
92,117316,-13920
81,15646,68954
55,10715,1046253
79,13612,339536
24,28632,10461
69,8906,91355
20,16718,1558965
26,7439,36522
84,59635,39783
56,142031,138034
36,10042,615352
63,22852,65035
32,14408,151276
21,29299,331302
38,27611,219636
85,34073,-3843
34,57247,212769
94,10080,1214309
34,14765,70524
38,24587,6733
78,97513,385909
78,61933,145652
41,5769,-16064
42,37311,-10728
39,92539,441
79,6192,39133
63,8226,146165
64,27157,51156
84,146339,19955
39,5421,30641
32,31370,114167
44,13334,1797216
46,25623,937631
71,13306,520558
18,22945,959041
28,8933,-5101
63,46883,186657
75,148565,33417
68,14429,82793
69,39610,138673
75,16875,513091
36,16016,1061677
77,5779,2224552
68,22687,209324
63,19508,-14589
16,18578,12791
93,281445,49130
56,26667,195674
60,15476,624460
68,3387,63145
42,32457,264285
36,22688,1721677
88,22428,970310
30,132235,1483660
89,6705,25640
26,39050,1850940
66,73034,1799213
16,33360,597198
65,113727,-7624
18,23863,588849
83,15431,54746
82,14454,339536
55,82546,4520
60,11117,12340822
71,17986,235109
19,16002,-733
93,7500,293356
41,140935,1483660
91,11462,248449
69,181278,-7624
68,81800,-7624
24,10796,259345
67,13776,346145
94,79454,427862
18,22945,127214
75,10012,65327
31,116018,138034
55,24394,47001
83,40747,39783
71,3886,475046
28,5976,-16064
25,25977,159083
64,27157,213099
89,36176,699365
21,88609,51083
94,10344,1214309
44,95894,159859
59,16986,76254
19,16002,242148
90,113432,9434
32,23586,107030
18,13766,173833
20,10014,16745
61,13211,-7225
39,5421,42247
54,93739,-5190
62,22852,257080
67,55104,20862
63,24321,174217
78,6117,-8054
45,7695,-5839
92,113432,12757
20,88313,10771
56,15423,251512
49,16190,397499
51,52031,19813
65,34011,108779
34,20484,3307836
74,22534,697157
54,36882,58676
84,1917,39133
59,43894,109047
85,37357,6714
39,5475,31638
32,57247,80744
80,36446,34824
60,11117,28784
16,18578,4682102
89,14643,132921
50,31163,1797216
53,3593,-10831
59,14306,20079
94,19340,85490
69,62689,20862
25,36318,314417
87,30473,178182
65,36833,371130
23,15365,288209
77,44396,1210162
62,2319,1299139
77,4480,-8054
66,30108,49040
53,73894,6188
71,25187,5132
66,28984,391650
59,13734,475767
59,71454,-17690
42,6677,228018
26,6313,40592
51,16360,1908021
44,29410,397499
25,16944,300267
51,13639,-14326
18,22945,522229
55,2645,512620
34,23586,79280
54,10715,1037111
38,49841,26059
30,9878,15325204
55,13929,678713
62,46591,579383
28,8482,112631
21,21115,25782
71,65363,209387
33,25004,16946
90,8865,324647
36,52212,-10450
88,228113,-13920
16,38814,80462
53,5888,109961
32,48434,98518
55,59967,32587
76,22478,970310
17,18068,40414
59,14306,645780
64,18647,14420
91,12321,271257
26,18982,830721
79,20427,339536
63,2766,9490340
55,24394,332374
34,17290,11318
84,64775,3124755
94,12406,788135
61,312387,1704630
41,32660,2559878
65,10878,-10425
62,46591,14420
89,36176,175755
19,16718,-16282
52,104548,441
33,6953,131699
47,16681,26709
84,14451,56770
47,199489,941662
55,30122,1044458
21,5884,31638
37,20812,109465
67,11430,-4053
34,3928,60666
52,19569,206536
90,9828,2204
27,7439,10891
71,36035,438689
29,36794,1989773
77,13857,42191
38,27611,601615
32,53138,33883
94,13403,33148
84,12428,146332
58,8418,46628
63,5062,654853
20,12187,1558965
93,31372,38705
17,43418,98518
27,22039,636921
43,11928,8504202
80,17726,40934
21,73670,1512827
42,59217,3569869
86,16112,56770
53,179477,1704630
31,35541,16610
77,2737,892471
71,50897,12784
48,12731,473138
31,33303,191849
83,7143,70614
63,33337,75876
30,22605,-7500
63,7258,-15872
43,7563,-16064
39,19636,611881
63,24321,29760
20,79902,2295173
20,12187,288209
84,122026,9434
53,179477,23364
84,15780,102033
35,63307,1605987
71,53592,2380
88,5393,2135136
78,23435,37049
87,30473,49101
46,11038,752274
19,44547,10521
47,16681,397499
37,10042,2985
41,7082,-14552
87,72770,3124755
81,15646,76278
67,2571,298540
46,14061,906202
92,11743,60994
47,23088,57125
44,13334,266367
62,3884,-5816
32,17318,1063249
84,9138,513117
64,10086,2985
69,8906,274181
51,13639,-13713
71,6380,12196
22,5884,968724
72,28802,-19560
57,48917,10483
78,36422,1210162
54,16509,-12104
50,24722,19805
84,32654,287389
32,125876,221300
37,16016,93779
71,13306,1291574
46,35293,1084526
86,22552,327365
19,154988,2391521
79,10679,146332
67,2571,-632
49,48012,477311
83,3603,-8054
84,33039,271894
36,26942,41621
41,5769,130743
46,152082,1483660
34,19982,3307836
85,64678,8594874
63,46883,39684
87,8260,26917
67,5623,4529120
41,7082,18810
21,17528,11318
19,79902,1512827
44,18770,-13713
70,6942,1068715
61,58854,2380
26,120506,-12628
40,5771,80132
81,2061,29979
25,21475,70424
20,23857,273911
37,27023,601615
18,26728,-3505
56,46349,-16089
76,29127,40928
89,30969,704780
41,43069,28275
