"epochs","discriminator","batch","frequency","copies","std_diff","ci_overlap"
"300","10","500","False","1",0.423673487527353,0.860671155577513
"900","1","500","False","10",0.47167580197956,0.786565413156088
"900","10","1000","False","1",0.507983834130311,0.813805493573267
"900","5","1000","True","5",0.526100408028864,0.864165468452965
"600","1","500","False","5",0.540422225533603,0.756064009846708
"600","10","500","True","5",0.569959783600675,0.816646480109305
"900","5","1000","True","1",0.585535948558427,0.845066890936622
"900","5","1000","True","10",0.588124215534999,0.808011870399896
"900","10","1000","True","5",0.638239557270283,0.832666082867241
"600","10","1000","False","10",0.66466105803004,0.811735656200708
"900","10","1000","False","10",0.675987174694648,0.825902617033499
"300","5","1000","True","5",0.67622623787457,0.750030717395568
"900","1","1000","False","10",0.681793392098228,0.782814590211061
"600","10","500","False","1",0.696183999739066,0.817851490976918
"900","5","1000","False","10",0.699264169538473,0.811246049433213
"900","10","1000","True","10",0.728203575670642,0.815581293947327
"600","5","1000","False","10",0.745759564414055,0.797614618190201
"600","10","500","True","10",0.748029775700388,0.82794789639986
"600","5","1000","True","1",0.761979610701638,0.783486301938442
"600","5","500","False","5",0.774748724302117,0.808929534628012
"600","5","500","True","10",0.78467292437683,0.827268726035628
"300","1","1000","True","5",0.788205981336304,0.713121442315982
"900","1","500","True","10",0.819384086045072,0.757696621019592
"900","10","500","True","5",0.825142394863141,0.784453333585262
"600","10","1000","True","10",0.835914763917868,0.780155681404862
"600","5","1000","True","10",0.836558600985107,0.777253823266043
"600","1","1000","False","10",0.847897487344486,0.723464528713199
"600","5","500","True","1",0.848026228756098,0.752815417207858
"600","5","1000","False","5",0.849304255958939,0.772274018964933
"300","1","500","False","10",0.883038966861897,0.714417803622403
"600","1","1000","True","10",0.899079053757614,0.734531432348634
"900","5","1000","False","5",0.909599397706999,0.764923615374537
"300","10","1000","True","10",0.911379937263119,0.72676124635803
"600","5","500","True","5",0.941557061194883,0.795499162238757
"600","1","1000","True","1",0.942799755432868,0.760140368215609
"300","10","500","True","10",0.962902068914825,0.752364585137141
"300","5","1000","False","10",0.970339941298867,0.707893203647525
"600","1","500","False","10",0.993985496520366,0.736103369577674
"300","10","1000","False","5",1.00235704925835,0.677975739881617
"900","1","500","True","5",1.00648340368876,0.751344720427749
"300","1","500","True","5",1.00718045669281,0.707513290678145
"300","5","1000","True","10",1.01972819718438,0.704485548982254
