"epochs","discriminator","frequency","batch","copies","roc_bivar"
300,1,"False",500,1,0.771668388531212
300,1,"False",500,5,0.66209990428135
300,1,"False",500,10,0.746355005140796
300,1,"False",1000,1,0.768389755545046
300,1,"False",1000,5,0.764431337745668
300,1,"False",1000,10,0.75087920777683
300,1,"True",500,1,0.786880957369769
300,1,"True",500,5,0.690829433372507
300,1,"True",500,10,0.727320822415869
300,1,"True",1000,1,0.7668513388735
300,1,"True",1000,5,0.780985812867869
300,1,"True",1000,10,0.751913686282913
300,5,"False",500,1,0.771980974098129
300,5,"False",500,5,0.763882228946177
300,5,"False",500,10,0.763044592011893
300,5,"False",1000,1,0.782752247790782
300,5,"False",1000,5,0.695567348836863
300,5,"False",1000,10,0.745613870385189
300,5,"True",500,1,0.781803712826729
300,5,"True",500,5,0.772998287769613
300,5,"True",500,10,0.7616825646373
300,5,"True",1000,1,0.816103695655075
300,5,"True",1000,5,0.721812512572661
300,5,"True",1000,10,0.736647255922416
300,10,"False",500,1,0.777351460166886
300,10,"False",500,5,0.760382865748504
300,10,"False",500,10,0.766387481161283
300,10,"False",1000,1,0.771253392027862
300,10,"False",1000,5,0.74327842184143
300,10,"False",1000,10,0.76813613792213
300,10,"True",500,1,0.796144092307765
300,10,"True",500,5,0.761174436603895
300,10,"True",500,10,0.763113612701223
300,10,"True",1000,1,0.812819005172975
300,10,"True",1000,5,0.725978562988803
300,10,"True",1000,10,0.765575694223923
600,1,"False",500,1,0.756342902540396
600,1,"False",500,5,0.7692731983888
600,1,"False",500,10,0.753730116206968
600,1,"False",1000,1,0.771068020929517
600,1,"False",1000,5,0.762798247199911
600,1,"False",1000,10,0.764434416049367
600,1,"True",500,1,0.792637372016584
600,1,"True",500,5,0.771440598989189
600,1,"True",500,10,0.745585005353831
600,1,"True",1000,1,0.771929824561404
600,1,"True",1000,5,0.753390526474827
600,1,"True",1000,10,0.727168305604225
600,5,"False",500,1,0.776130707952244
600,5,"False",500,5,0.749105530680622
600,5,"False",500,10,0.752590540805239
600,5,"False",1000,1,0.773499766365007
600,5,"False",1000,5,0.763483612262424
600,5,"False",1000,10,0.735622820117192
600,5,"True",500,1,0.797774929735027
600,5,"True",500,5,0.756625107934681
600,5,"True",500,10,0.753688745381414
600,5,"True",1000,1,0.800457659235871
600,5,"True",1000,5,0.77854477745177
600,5,"True",1000,10,0.736660149503865
600,10,"False",500,1,0.766795647998246
600,10,"False",500,5,0.763889795881927
600,10,"False",500,10,0.749522859670711
600,10,"False",1000,1,0.769036626654355
600,10,"False",1000,5,0.759305880361296
600,10,"False",1000,10,0.76408086453887
600,10,"True",500,1,0.795584679313563
600,10,"True",500,5,0.749051154885949
600,10,"True",500,10,0.759271981646517
600,10,"True",1000,1,0.763157894736842
600,10,"True",1000,5,0.752521137720273
600,10,"True",1000,10,0.758924797074028
900,1,"False",500,1,0.765716873523824
900,1,"False",500,5,0.754645162823827
900,1,"False",500,10,0.771008816084693
900,1,"False",1000,1,0.78924475424418
900,1,"False",1000,5,0.754582303299828
900,1,"False",1000,10,0.758423560359811
900,1,"True",500,1,0.804105654820921
900,1,"True",500,5,0.761631425620891
900,1,"True",500,10,0.756468427984669
900,1,"True",1000,1,0.783168496143656
900,1,"True",1000,5,0.764285160126331
900,1,"True",1000,10,0.764573604756451
900,5,"False",500,1,0.775992613111727
900,5,"False",500,5,0.752482784432641
900,5,"False",500,10,0.747842284320237
900,5,"False",1000,1,0.764466681364188
900,5,"False",1000,5,0.748388378996538
900,5,"False",1000,10,0.753002709093438
900,5,"True",500,1,0.774238227146815
900,5,"True",500,5,0.769009647792314
900,5,"True",500,10,0.752430712911213
900,5,"True",1000,1,0.764542936288089
900,5,"True",1000,5,0.758099393470162
900,5,"True",1000,10,0.762378702119342
900,10,"False",500,1,0.787522713192707
900,10,"False",500,5,0.755243359928567
900,10,"False",500,10,0.76491230684506
900,10,"False",1000,1,0.769322290236659
900,10,"False",1000,5,0.764273148153998
900,10,"False",1000,10,0.766930719309066
900,10,"True",500,1,0.821628456862452
900,10,"True",500,5,0.757775865317941
900,10,"True",500,10,0.760492918836141
900,10,"True",1000,1,0.804605571289039
900,10,"True",1000,5,0.762568777159377
900,10,"True",1000,10,0.762056163946637
