"epochs","discriminator","batch","frequency","copies","roc_univar"
"300","5","1000","True","1",0.660436185137568
"300","1","500","False","1",0.663965975878527
"300","1","1000","True","5",0.66858683232159
"300","1","1000","False","1",0.669798914084179
"900","1","1000","True","1",0.671827957045806
"300","1","1000","True","1",0.67307490958499
"600","1","1000","True","1",0.674149768262497
"900","1","500","False","1",0.683036258259922
"300","1","1000","True","10",0.685713750817944
"300","1","1000","False","5",0.686473385627814
"300","10","1000","True","1",0.692774910521631
"300","1","1000","False","10",0.695049567560841
"300","5","1000","True","5",0.70073107752549
"300","1","500","False","5",0.705114096935032
"600","1","1000","False","10",0.706581339120191
"300","5","1000","True","10",0.706835277560855
"900","10","1000","False","1",0.708660920150347
"300","1","500","True","10",0.709804034882674
"300","5","1000","False","1",0.710097388744374
"300","10","1000","True","5",0.71237344717416
"300","1","500","False","10",0.714310899269811
"300","1","500","True","1",0.715311659738683
"600","5","1000","True","1",0.716245717940035
"600","1","1000","True","10",0.716432889332757
"600","1","1000","False","1",0.717105256809405
"300","5","1000","False","10",0.71860153413829
"900","1","1000","False","1",0.71905980259102
"300","1","500","True","5",0.719594132699002
"300","5","1000","False","5",0.722591629468574
"600","5","1000","False","1",0.723234514123672
"300","10","500","True","1",0.725298994710411
"600","1","1000","False","5",0.725976406068554
"300","10","1000","False","5",0.728096630131595
"300","10","1000","False","1",0.729537486561811
"300","10","1000","True","10",0.732193911813112
"900","1","1000","False","5",0.732623694196632
"300","10","1000","False","10",0.733148143362783
"900","1","1000","True","10",0.735600236935543
"300","10","500","True","5",0.735839101004977
"600","1","500","False","10",0.736128643326601
"300","5","500","False","1",0.737630476217982
"900","1","1000","True","5",0.737941185275478
"900","5","1000","False","1",0.738910449580071
"600","1","1000","True","5",0.739232718596868
"300","5","500","False","5",0.739529816902262
"900","10","1000","False","5",0.739883189154021
"600","10","1000","False","1",0.743605496799096
"600","5","1000","True","5",0.743723690649597
"600","10","1000","False","5",0.745292441054444
"600","10","1000","True","1",0.745630517425354
"600","10","1000","True","5",0.747309547092613
"900","10","1000","True","1",0.747314290776486
"600","10","500","False","5",0.748681576984191
"600","5","1000","False","10",0.750829592546301
"600","5","1000","False","5",0.752247419779231
"300","5","500","True","10",0.754526733745714
"600","1","500","True","10",0.754567330923759
"300","5","500","False","10",0.754981365343308
"600","1","500","False","1",0.755518487489031
"300","5","500","True","5",0.756801396450682
"900","10","1000","False","10",0.757585542399816
"300","10","500","True","10",0.757807018089726
"600","10","500","True","1",0.75785737073426
"900","1","500","False","10",0.757864356616973
"900","10","500","False","5",0.758076016224137
"600","1","500","True","5",0.758755963731721
"600","10","1000","True","10",0.759191076070163
"600","1","500","False","5",0.760199046897573
"900","5","1000","False","5",0.76069703768642
"600","10","500","True","5",0.761410732762452
"600","5","500","True","1",0.763016412897865
"600","10","500","False","10",0.763090667941032
"300","10","500","False","10",0.763765431595781
"600","10","500","False","1",0.764847602353066
"300","5","500","True","1",0.764962778408627
"600","5","1000","True","10",0.766265016102642
"600","1","500","True","1",0.766591392323408
"900","5","1000","True","5",0.767171008194831
"900","5","1000","True","10",0.767634839005967
"900","1","1000","False","10",0.769309602019635
"900","1","500","True","1",0.769368655175774
"600","10","500","True","10",0.769839725328022
"900","10","500","True","10",0.770561061581721
"900","10","1000","True","10",0.770699569059976
"300","10","500","False","5",0.771361662756219
"900","5","500","False","1",0.771372055734815
"600","5","500","False","5",0.773155966768082
"900","10","500","True","1",0.773220836317319
"900","1","500","True","5",0.773378188044898
"900","1","500","False","5",0.773653903872377
"600","10","1000","False","10",0.774957078142144
"900","1","500","True","10",0.775740125924238
"900","5","500","False","5",0.776654123279989
"900","5","500","False","10",0.777362774325091
"900","5","1000","False","10",0.777998677358645
"900","10","500","False","10",0.780067475501615
"600","5","500","True","5",0.781251568442507
"900","10","500","False","1",0.781939130583287
"600","5","500","True","10",0.783407118925102
"900","5","500","True","5",0.785611055279595
"900","10","1000","True","5",0.78575324465585
"900","10","500","True","5",0.786308735236596
"900","5","500","True","10",0.788387682194497
"600","5","500","False","10",0.789248860074804
"300","10","500","False","1",0.799260568406531
"900","5","500","True","1",0.803404064321256
"600","5","500","False","1",0.813867685598137
"900","5","1000","True","1",0.817305785799746
