"privacy","parents","copies","std_diff","ci_overlap"
"5","0","1",0.911350311857899,0.729511566071707
"5","1","1",0.911350311857899,0.729511566071707
"10","0","1",1.14186020002323,0.711863840147179
"10","1","1",1.14186020002323,0.711863840147179
"30","0","10",1.43309885387443,0.654002894990817
"30","1","10",1.43309885387443,0.654002894990817
"0","2","1",1.58986003391898,0.611744210102061
"30","0","5",1.59157419263926,0.629236618623931
"30","1","5",1.59157419263926,0.629236618623931
"0","0","1",1.59932964551326,0.615573625366412
"0","1","1",1.59932964551326,0.615573625366412
"30","0","1",1.61608149941157,0.61355494516332
"30","1","1",1.61608149941157,0.61355494516332
"20","0","10",1.63114518118151,0.63019041719649
"20","1","10",1.63114518118151,0.63019041719649
"0.1","2","5",1.71132973493919,0.599422657719495
"20","0","1",1.8430647020875,0.537643049115612
"20","1","1",1.8430647020875,0.537643049115612
"0","0","10",1.88050296351549,0.551239888144313
"0","1","10",1.88050296351549,0.551239888144313
"0","2","5",1.88256093551548,0.551257517025266
"20","0","5",1.88326183915698,0.601140655249317
"20","1","5",1.88326183915698,0.601140655249317
"0","2","10",1.89179222011218,0.548905908508377
"10","0","10",1.92592286727337,0.623349946304708
"10","1","10",1.92592286727337,0.623349946304708
"0","0","5",1.93358768088751,0.546857273504408
"0","1","5",1.93358768088751,0.546857273504408
"0.1","2","1",1.93986838706478,0.532540255956559
"5","0","5",1.99359606281598,0.679600577922612
"5","1","5",1.99359606281598,0.679600577922612
"0.1","2","10",2.14415059493942,0.555781695807765
"10","0","5",2.15834795023493,0.574124070365139
"10","1","5",2.15834795023493,0.574124070365139
"1","0","10",2.27380464263019,0.606294025063978
"1","1","10",2.27380464263019,0.606294025063978
"0.1","0","10",2.30025534551297,0.516457765286796
"0.1","1","10",2.30025534551297,0.516457765286796
"5","0","10",3.10236716558776,0.5696233062304
"5","1","10",3.10236716558776,0.5696233062304
"0.1","0","1",3.55929212358025,0.212238633777005
"0.1","1","1",3.55929212358025,0.212238633777005
"1","0","5",3.81598332392084,0.509646133198563
"1","1","5",3.81598332392084,0.509646133198563
"0.1","0","5",4.93688157048542,0.362836924478541
"0.1","1","5",4.93688157048542,0.362836924478541
"1","2","5",5.01330731788842,0.564790954733786
"1","2","1",5.06676702949599,0.468456003307056
"1","2","10",5.46256332505638,0.468231535037556
"30","2","5",5.68874154537831,0.602824542420039
"30","2","10",5.70887501205407,0.601835437997137
"30","2","1",5.8495698229726,0.58792306322582
"20","2","1",6.10715292020049,0.608175362334407
"20","2","5",6.20162641587225,0.60756064044686
"20","2","10",6.346651753926,0.596131792652783
"1","0","1",6.59490615691816,0.582356233024618
"1","1","1",6.59490615691816,0.582356233024618
"10","2","5",7.06199606981633,0.594268007169264
"10","2","10",7.07572636487478,0.527970759838204
"10","2","1",7.07835976876819,0.532041306767372
"5","2","10",7.27961932814214,0.487846698338546
"5","2","5",7.36233619018974,0.489576679751326
"5","2","1",7.79253148413261,0.444938284789744
