type,rows,cols,n,duration,epochs,batch_size
ctgan,50000,10,1,351.14457607269287,10,500.0
ctgan,50000,10,1,647.4688560962677,10,1000.0
ctgan,50000,10,1,605.750391960144,10,5000.0
ctgan,50000,10,1,405.62450981140137,10,10000.0
ctgan,50000,10,1,600.9661250114441,20,500.0
ctgan,50000,10,1,487.93695402145386,20,1000.0
ctgan,50000,10,1,621.0951390266418,20,5000.0
ctgan,50000,10,1,110.26544427871704,20,10000.0
ctgan,50000,10,1,250.43274402618408,30,500.0
ctgan,50000,10,1,634.572242975235,30,1000.0
ctgan,50000,10,1,480.66944885253906,30,5000.0
ctgan,50000,10,1,619.6826112270355,30,10000.0
ctgan,50000,10,1,448.43726897239685,40,500.0
ctgan,50000,10,1,651.6574850082397,40,1000.0
ctgan,50000,10,1,291.44462418556213,40,5000.0
ctgan,50000,10,1,210.59601831436157,40,10000.0
ctgan,50000,10,1,654.7909061908722,50,500.0
ctgan,50000,10,1,416.6980390548706,50,1000.0
ctgan,50000,10,1,691.4258251190186,50,5000.0
ctgan,50000,10,1,381.2784640789032,50,10000.0
ctgan,50000,10,1,891.1518380641937,75,500.0
ctgan,50000,10,1,732.9094598293304,75,1000.0
ctgan,50000,10,1,758.8687040805817,75,5000.0
ctgan,50000,10,1,459.9937641620636,75,10000.0
ctgan,50000,10,1,1157.3554360866547,100,500.0
ctgan,50000,10,1,476.06225514411926,100,1000.0
ctgan,50000,10,1,452.9367711544037,100,5000.0
ctgan,50000,10,1,398.4250659942627,100,10000.0
