"epochs","rows","cols","batch","specks"
10,"100000",20,"500",0.427060000000286
10,"100000",20,"1000",0.52838000000023
10,"100000",20,"5000",0.386540000000246
10,"100000",20,"10000",0.529360000000226
20,"100000",20,"500",0.469470000000329
20,"100000",20,"1000",0.477240000000336
20,"100000",20,"5000",0.540910000000173
20,"100000",20,"10000",0.353330000000213
30,"100000",20,"500",0.501390000000353
30,"100000",20,"1000",0.456970000000316
30,"100000",20,"5000",0.428800000000288
30,"100000",20,"10000",0.499110000000358
40,"100000",20,"500",0.42028000000028
40,"100000",20,"1000",0.469510000000329
40,"100000",20,"5000",0.456600000000316
40,"100000",20,"10000",0.391660000000251
50,"100000",20,"500",0.433040000000292
50,"100000",20,"1000",0.365260000000224
50,"100000",20,"5000",0.468840000000328
50,"100000",20,"10000",0.463780000000323
75,"100000",20,"500",0.490190000000349
75,"100000",20,"1000",0.395210000000254
75,"100000",20,"5000",0.478530000000338
75,"100000",20,"10000",0.368450000000228
100,"100000",20,"500",0.451440000000311
100,"100000",20,"1000",0.499050000000358
100,"100000",20,"5000",0.509750000000315
100,"100000",20,"10000",0.385710000000245
