"epochs","rows","cols","batch","specks"
10,"50000",10,"500",0.432520000000151
10,"50000",10,"1000",0.495640000000214
10,"50000",10,"5000",0.484100000000203
10,"50000",10,"10000",0.540540000000259
20,"50000",10,"500",0.33172000000005
20,"50000",10,"1000",0.37182000000009
20,"50000",10,"5000",0.363280000000082
20,"50000",10,"10000",0.42172000000014
30,"50000",10,"500",0.32144000000004
30,"50000",10,"1000",0.432800000000151
30,"50000",10,"5000",0.380320000000099
30,"50000",10,"10000",0.383000000000101
40,"50000",10,"500",0.33190000000005
40,"50000",10,"1000",0.302100000000021
40,"50000",10,"5000",0.425840000000144
40,"50000",10,"10000",0.382920000000101
50,"50000",10,"500",0.333660000000052
50,"50000",10,"1000",0.254859999999973
50,"50000",10,"5000",0.432420000000151
50,"50000",10,"10000",0.396920000000115
75,"50000",10,"500",0.347680000000066
75,"50000",10,"1000",0.318140000000037
75,"50000",10,"5000",0.454480000000173
75,"50000",10,"10000",0.374200000000093
100,"50000",10,"500",0.424900000000143
100,"50000",10,"1000",0.353140000000072
100,"50000",10,"5000",0.360220000000079
100,"50000",10,"10000",0.360240000000079
10,"50000",15,"500",0.44194000000016
10,"50000",15,"1000",0.406720000000125
10,"50000",15,"5000",0.434020000000153
10,"50000",15,"10000",0.455780000000174
20,"50000",15,"500",0.468560000000187
20,"50000",15,"1000",0.512980000000231
20,"50000",15,"5000",0.351040000000069
20,"50000",15,"10000",0.578040000000297
30,"50000",15,"500",0.330360000000049
30,"50000",15,"1000",0.447140000000166
30,"50000",15,"5000",0.526440000000245
30,"50000",15,"10000",0.322380000000041
40,"50000",15,"500",0.315400000000034
40,"50000",15,"1000",0.417360000000136
40,"50000",15,"5000",0.455800000000174
40,"50000",15,"10000",0.352540000000071
50,"50000",15,"500",0.428840000000147
50,"50000",15,"1000",0.33148000000005
50,"50000",15,"5000",0.366240000000085
50,"50000",15,"10000",0.455280000000174
75,"50000",15,"500",0.432820000000151
75,"50000",15,"1000",0.463860000000182
75,"50000",15,"5000",0.40182000000012
75,"50000",15,"10000",0.434800000000153
100,"50000",15,"500",0.472600000000191
100,"50000",15,"1000",0.536320000000255
100,"50000",15,"5000",0.42110000000014
100,"50000",15,"10000",0.438380000000157
10,"50000",20,"500",0.535800000000254
10,"50000",20,"1000",0.509220000000228
10,"50000",20,"5000",0.567600000000286
10,"50000",20,"10000",0.569620000000288
20,"50000",20,"500",0.522900000000241
20,"50000",20,"1000",0.523660000000242
20,"50000",20,"5000",0.408240000000127
20,"50000",20,"10000",0.505600000000224
30,"50000",20,"500",0.451020000000169
30,"50000",20,"1000",0.449280000000168
30,"50000",20,"5000",0.507240000000226
30,"50000",20,"10000",0.578380000000297
40,"50000",20,"500",0.39176000000011
40,"50000",20,"1000",0.479140000000198
40,"50000",20,"5000",0.457780000000176
40,"50000",20,"10000",0.386840000000105
50,"50000",20,"500",0.427700000000146
50,"50000",20,"1000",0.40100000000012
50,"50000",20,"5000",0.496200000000215
50,"50000",20,"10000",0.464200000000183
75,"50000",20,"500",0.553020000000272
75,"50000",20,"1000",0.42108000000014
75,"50000",20,"5000",0.499140000000218
75,"50000",20,"10000",0.457720000000176
100,"50000",20,"500",0.513820000000232
100,"50000",20,"1000",0.456760000000175
100,"50000",20,"5000",0.484520000000203
100,"50000",20,"10000",0.49144000000021
