sex,age,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight
MALE,56,RURAL AREAS,Podkarpackie,POST-SECONDARY OR HIGHER,no specialisation,LONG-TERM SICK/DISABLED,0.0,771.0,SINGLE,6.0,1994.0,6.0,1997.0,PLEASED,8.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO,NO,0.0,NO,30.0,NO,NO,NO,11.0,NO,IT DEPENDS,GREAT BRITAIN,NONE,164.0,75.0
MALE,60,RURAL AREAS,Wielkopolskie,POST-SECONDARY OR HIGHER,"agriculture, forestry, fishing",RETIRED,0.0,1498.0,MARRIED,1.0,1966.0,1.0,1991.0,MIXED,1.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,0.0,YES,20.0,NO,NO,NO,20.0,NO,IT DEPENDS,GERMANY,NONE,165.0,82.0
FEMALE,28,RURAL AREAS,Mazowieckie,PRIMARY/NO EDUCATION,technical science,PUPIL OR STUDENT,7.0,1229.0,SINGLE,11.0,1976.0,10.0,2000.0,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,2.0,NO,7.0,NO,NO,NO,4.0,NO,IT DEPENDS,GERMANY,NONE,165.0,78.0
FEMALE,26,"URBAN 20,000-100,000",Mazowieckie,VOCATIONAL/GRAMMAR,services for the population and transport services,OTHER ECONOMICALLY INACTIVE,0.0,1101.0,SINGLE,6.0,1953.0,8.0,1981.0,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,3.0,NO,20.0,NO,NO,NO,24.0,NO,LESS THAN 1 TO 2 YEARS,FRANCE,NONE,160.0,75.0
MALE,58,"URBAN 500,000 AND OVER",Swietokrzyskie,PRIMARY/NO EDUCATION,social sciences,UNEMPLOYED,10.0,1301.0,WIDOWED,12.0,1947.0,1.0,1992.0,MOSTLY SATISFIED,6.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,7.0,NO,10.0,NO,NO,NO,6.0,NO,LESS THAN 1 YEAR,AUSTRIA,ACTIVE,164.0,70.0
MALE,53,RURAL AREAS,Slaskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,24.0,2012.0,WIDOWED,9.0,2010.0,10.0,1982.0,MOSTLY SATISFIED,7.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,10.0,NO,20.0,NO,NO,NO,13.0,NO,LESS THAN 1 YEAR,FRANCE,NONE,172.0,80.0
FEMALE,54,RURAL AREAS,Slaskie,VOCATIONAL/GRAMMAR,social welfare,UNEMPLOYED,0.0,1518.0,MARRIED,11.0,1980.0,5.0,1998.0,PLEASED,10.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,5.0,NO,5.0,NO,NO,NO,4.0,NO,LESS THAN 1 TO 2 YEARS,NORWAY,NONE,164.0,70.0
MALE,55,RURAL AREAS,Warminsko-mazurskie,VOCATIONAL/GRAMMAR,pedagogics,RETIRED,0.0,1931.0,MARRIED,10.0,1976.0,6.0,1992.0,PLEASED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,2.0,NO,10.0,NO,NO,NO,4.0,NO,LESS THAN 1 YEAR,IRELAND,ACTIVE,171.0,95.0
MALE,25,"URBAN 500,000 AND OVER",Wielkopolskie,VOCATIONAL/GRAMMAR,no specialisation,EMPLOYED IN PRIVATE SECTOR,0.0,2069.0,DIVORCED,9.0,1967.0,8.0,2009.0,MOSTLY SATISFIED,7.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,2.0,NO,20.0,NO,NO,NO,24.0,NO,LESS THAN 1 TO 2 YEARS,NORWAY,NONE,176.0,105.0
FEMALE,24,"URBAN 100,000-200,000",Dolnoslaskie,SECONDARY,economy and administration,EMPLOYED IN PUBLIC SECTOR,0.0,3744.0,SINGLE,2.0,1997.0,4.0,1988.0,PLEASED,10.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,7.0,YES,20.0,NO,NO,NO,12.0,NO,LESS THAN 1 YEAR,OTHER COUNTRIES,PASSIVE,162.0,69.0
MALE,49,"URBAN 100,000-200,000",Slaskie,POST-SECONDARY OR HIGHER,no specialisation,EMPLOYED IN PRIVATE SECTOR,24.0,822.0,MARRIED,10.0,1991.0,9.0,2003.0,MIXED,3.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO,YES,15.0,YES,15.0,NO,NO,NO,24.0,NO,LESS THAN 1 YEAR,GERMANY,NONE,176.0,86.0
FEMALE,45,RURAL AREAS,Malopolskie,PRIMARY/NO EDUCATION,no specialisation,LONG-TERM SICK/DISABLED,24.0,2886.0,MARRIED,9.0,1940.0,6.0,1975.0,MOSTLY SATISFIED,9.0,ONE CAN`T BE TOO CAREFUL,NO,YES,YES,15.0,NO,2.0,NO,NO,YES,10.0,NO,IT DEPENDS,GERMANY,NONE,175.0,75.0
FEMALE,16,RURAL AREAS,Lubelskie,POST-SECONDARY OR HIGHER,"agriculture, forestry, fishing",OTHER ECONOMICALLY INACTIVE,24.0,1119.0,SINGLE,12.0,1995.0,6.0,1991.0,MOSTLY DISSATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,0.0,YES,10.0,NO,NO,NO,36.0,NO,LESS THAN 1 YEAR,GERMANY,NONE,158.0,76.0
FEMALE,54,"URBAN 500,000 AND OVER",Kujawsko-pomorskie,SECONDARY,technical science,UNEMPLOYED,0.0,1496.0,MARRIED,4.0,1961.0,3.0,2006.0,MOSTLY DISSATISFIED,10.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,3.0,NO,20.0,NO,NO,YES,13.0,NO,IT DEPENDS,GERMANY,NONE,158.0,98.0
FEMALE,22,"URBAN BELOW 20,000",Dolnoslaskie,POST-SECONDARY OR HIGHER,technical science,SELF-EMPLOYED,0.0,1387.0,MARRIED,2.0,2007.0,6.0,1993.0,PLEASED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,3.0,NO,20.0,NO,NO,NO,12.0,NO,FOREVER,NETHERLANDS,NONE,156.0,54.0
FEMALE,89,RURAL AREAS,Lubuskie,POST-SECONDARY OR HIGHER,economy and administration,EMPLOYED IN PUBLIC SECTOR,0.0,1889.0,DE FACTO SEPARATED,7.0,1974.0,7.0,1985.0,MIXED,2.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,10.0,NO,5.0,NO,NO,NO,3.0,NO,LESS THAN 1 YEAR,FRANCE,PASSIVE,164.0,55.0
